stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,2,0,0,0,1,0,0,0,3,0,0,15,2,0,0,0,2,2,0,3,9,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,4.1,0,1.64,20.52,0,0,0,0,0,0,0,0,5.75,0,1.64,0
 36-46,0,0,0.81,0,4.03,0,0.81,0,0,0,0,0,4.03,0,0.81,8.06,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,5.16,0,1.15,0.57,0,0,0.57,0,4.02,0,0.57,8.61,0,0.57,0.57,0,1.15,0,0,0,6.89,0,1.15,0.57
 60-70,0,0,0.98,0,8.83,0,3.93,0,0,0,0,0,4.91,0,0.98,6.87,0,0,0,0,1.96,0,0,0,2.94,2.94,0.98,0
 72-82,0,0,0.98,0.98,2.94,0,2.94,0,0,0,0,0,14.72,0.98,1.96,12.76,0,0,0.98,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,2.12,2.12,3.19,0,1.06,0,0,0,0,0,2.12,0,1.06,5.31,0,0,0,0,5.31,0,1.06,0,0,0,1.06,0
 96-106,0,0,1.09,1.09,1.09,0,3.28,0,0,0,0,0,2.19,0,0,9.84,0,0,0,1.09,3.28,0,0,0,1.09,0,1.09,0
108-118,0,0.77,1.53,0.77,1.53,0.77,3.83,0,0,0.77,0,0,6.13,0,0,9.19,0,0,0,0,5.36,0,0,0,0.77,0,2.3,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,3.92,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0,0,0,0
