stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,4.1,4.93,0,0.82,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0.81,0.81,0,0,0,0,0,0.81,0,11.28,0,0,4.83,20.14,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,0,0,4.02,0,0,1.15,0,0,0.57,0.57,25.82,0,4.59,6.31,13.77,0.57,0,0,0,0,0,6.89,1.72,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,2.94,0,0.98,0,0,0,0,0,70.67,0,5.89,3.93,6.87,0,0,0,0,0,0,3.93,12.76,0,12.76
 72-82,0,1.96,0,0,0,0,7.85,3.93,0,1.96,11.78,0,0.98,0.98,0,0,0,0,223.82,0,22.58,6.87,14.72,0,0,0,0.98,0,0.98,0,33.38,0,37.3
 84-94,0,0,0,0,0,0,15.93,3.19,0,3.19,16.99,0,0,2.12,0,0,0,0,145.5,0,15.93,7.43,4.25,2.12,0,1.06,0,0,0,2.12,40.36,1.06,37.17
 96-106,0,0,0,1.09,0,0,17.49,7.65,1.09,0,19.67,0,0,4.37,1.09,1.09,0,0,227.31,0,12.02,10.93,18.58,0,0,0,1.09,0,0,0,26.23,1.09,71.04
108-118,0,0,0,2.3,0,0,8.43,4.6,0,1.53,13.79,0.77,0.77,1.53,0,0.77,0,0,240.51,0,10.72,6.13,18.38,0.77,0,0,0.77,0.77,0,0,20.68,0,35.23
120,0,0,0,0,1.96,1.96,3.92,1.96,0,0,9.8,0,0,0,0,0,0,1.96,162.66,1.96,5.88,5.88,11.76,0,0,0,0,0,0,1.96,7.84,1.96,33.32
