stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,3.28,0,0,1.64,4.1,0.82,0,0,0,3.28,0,0,0.82,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,4.03,0,0,4.83,16.11,1.61,0,0,0,2.42,0,3.22,0.81,0,0.81,2.42
 48-58,0,0,0,0,0.57,0,0,4.59,0.57,0.57,0,0.57,0,0,1.15,0,0,5.16,6.89,0,0,0.57,12.62,0,0,0,0,1.15,0,0.57,4.02,0,1.15,1.72
 60-70,0,0,0,0,1.96,0,0,6.87,0,0.98,1.96,0.98,0,0,0,0,0,2.94,9.82,0.98,0.98,1.96,27.48,0.98,0.98,0,0,3.93,0,1.96,1.96,0,0.98,6.87
 72-82,0,0,0,0,0.98,0,0,11.78,0,0,1.96,2.94,0,0,0,0,0,3.93,19.63,0,0,2.94,24.54,1.96,1.96,0,0,0.98,0,0.98,0.98,0,1.96,1.96
 84-94,0,0,1.06,0,0,0,0,12.74,0,1.06,1.06,6.37,1.06,0,0,1.06,3.19,8.5,15.93,0,1.06,3.19,14.87,1.06,0,0,0,8.5,1.06,0,2.12,0,1.06,9.56
 96-106,0,0,0,0,2.19,0,0,20.76,0,0,2.19,3.28,0,0,0,1.09,1.09,3.28,17.49,1.09,0,3.28,17.49,0,0,0,0,1.09,0,0,1.09,0,1.09,2.19
108-118,0,0,0,0,5.36,0,2.3,13.02,0,0.77,0,3.06,0.77,0,0.77,0.77,6.13,7.66,16.85,0,0,1.53,18.38,0.77,0,0,0,4.6,0,0.77,0,0.77,0.77,3.83
120,0,0,0,0,5.88,0,0,5.88,1.96,0,1.96,0,0,0,0,0,0,1.96,29.4,0,1.96,1.96,17.64,0,0,1.96,0,0,0,0,7.84,0,1.96,0
