stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,0,7,0,0,2,0,0,0,0,0,0,0,3,0,0,1,21,0,0,0,0,0,0,5,0,0,3,9,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,14.78,0,0,3.28,0,0.82,0,0,0,0,0.82,4.93,0,0,0.82,134.62,2.46,4.93,0.82,0,0,0,0,0.82,0,2.46,60.74,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,8.06,0.81,3.22,6.45,0,0.81,0,0,0,0,0,9.67,0,0.81,3.22,380.28,3.22,5.64,1.61,0,0,1.61,0.81,0,0,0,90.23,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,0,41.31,0,0.57,11.48,0,1.15,0,0,0,0,0,18.36,0.57,0.57,3.44,515.85,1.72,0,0,0,0,0.57,0,0,0,0,94.68,0,0,0,0.57,1.15
 60-70,0,0,0,0.98,0,0,202.19,0,0,14.72,0.98,0.98,0.98,0,0.98,0,0,25.52,0,0.98,0,666.45,0.98,2.94,1.96,0,0,0.98,0,0,0,0,104.04,0.98,0,0.98,0.98,0
 72-82,0,0,0,3.93,0,0,378.92,0,1.96,21.6,0,0,0,0,1.96,0.98,0,33.38,0.98,0.98,3.93,583.11,0.98,4.91,2.94,0,0,0,0,0.98,0,0,43.19,0,0,2.94,0.98,1.96
 84-94,0,0,0,2.12,1.06,1.06,257.01,1.06,3.19,16.99,2.12,0,0,1.06,2.12,0,0,22.3,1.06,0,1.06,254.89,0,1.06,1.06,0,0,2.12,0,1.06,0,0,18.05,0,1.06,2.12,1.06,1.06
 96-106,0,2.19,0,9.84,1.09,4.37,298.35,0,1.09,17.49,1.09,1.09,1.09,0,8.74,0,3.28,24.04,0,0,2.19,220.76,1.09,2.19,3.28,0,0,0,0,0,1.09,0,13.11,0,1.09,1.09,4.37,1.09
108-118,0,0,0.77,5.36,0,6.89,212.94,0,0,9.19,1.53,0,0.77,0,19.15,0.77,0,15.32,0,0,0,202.98,2.3,0,0.77,0,0.77,0.77,0,0.77,0,0,2.3,0.77,0,0.77,0.77,0
120,0,0,0,1.96,1.96,3.92,150.9,1.96,0,7.84,1.96,3.92,1.96,1.96,7.84,1.96,0,15.68,0,1.96,3.92,256.73,0,0,0,0,1.96,1.96,0,3.92,0,0,5.88,1.96,0,0,1.96,0
