stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,18.88,0,0,179.38,0,0,0,0,0,37.76,0,0,0,0
 14-21,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,7,87,0,0,4,0,0,25,0,16,21,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,2.46,0,0,4.1,0,0,0.82,0,0.82,0,9.03,0,0,59.1,12.31,0.82,0,0,0,0,0,1.64,0.82,8.21,1.64,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,7.25,0,0,8.86,0,0,0,0,0.81,0,22.56,0,11.28,82.98,4.03,0.81,0,0,0.81,0,0,0,0,0,7.25,0,2.42,0
 48-58,0,0,0,0,1.72,1.15,0,0.57,6.31,0,0.57,6.89,0,0,0,0,0,0,77.46,0,12.05,36.15,0.57,0,0,0,0.57,0,0,0,0,0,6.89,1.72,3.44,0
 60-70,0,0,0,0,4.91,1.96,0,0.98,7.85,0,0,2.94,0,0.98,0,0,0,0.98,187.47,0,26.5,33.37,0,0,0,0,0,0,0,0,0,0,9.82,12.76,0.98,0.98
 72-82,0,0,0,0,13.74,0,0,3.93,12.76,0.98,0,0.98,0,0,0,0.98,0,0,243.45,1.96,24.54,27.49,0,0,0,0,0.98,0.98,0,0,0,0,1.96,12.76,9.82,1.96
 84-94,0,0,3.19,0,13.81,0,0,1.06,6.37,0,0,4.25,0,0,0,0,0,0,182.67,2.12,26.55,25.49,0,0,0,0,0,0,0,0,0,0,5.31,13.81,9.56,3.19
 96-106,0,0,1.09,0,6.56,0,0,0,7.65,0,0,3.28,2.19,0,0,0,1.09,0,118.03,2.19,15.3,20.76,0,1.09,1.09,0,0,1.09,0,0,0,0,1.09,9.84,8.74,7.65
108-118,0,0,2.3,0.77,5.36,0,0,0.77,10.72,0,0,0.77,0,0,0,0,0.77,0,115.66,0.77,13.02,11.49,0,0,0,0,0,0,0,0.77,0,0,0,5.36,4.6,3.83
120,0,0,5.88,0,5.88,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,113.67,0,15.68,21.56,0,0,0,0,3.92,3.92,0,0,0,0,3.92,7.84,1.96,1.96
