stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,1.64,0,5.75,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,12.09,0,0,0
 48-58,0,0,1.15,0,0,0,0,1.15,0,0,0,2.87,0,4.59,1.15,0,0.57
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,9.82,0.98,0,0
 72-82,0,0.98,1.96,0,0,0,0,1.96,0,0,0,4.91,0,26.5,0.98,0,0
 84-94,0,1.06,3.19,0,0,0,0,1.06,0,0,0,2.12,0,84.96,0,0,0
 96-106,0,1.09,2.19,0,0,1.09,0,3.28,1.09,0,2.19,5.46,0,89.61,1.09,0,1.09
108-118,0,0.77,0,3.06,0.77,0,0.77,0.77,0,0.77,0,4.6,0,98.04,0,0.77,0
120,0,1.96,1.96,0,3.92,0,1.96,0,0,0,0,0,0,86.23,0,0,0
