stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,36.78,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,9.85,0.82,0,0,0,8.21,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,41.89,2.42,0,0,0,23.36,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0.57,0,0,0,0,0.57,0.57,0,30.41,2.87,0,0,0,9.18,0,0,0,0.57
 60-70,0,0,0,0,0,28.46,0,4.91,0,0,0,0,0,0,0,0,0.98,40.24,3.93,0,0.98,0,10.8,0,0,0,0
 72-82,0,0,0.98,0,0,110.93,0,8.83,0,0.98,0,0,0.98,0,0,6.87,0,50.06,4.91,0,0,0,12.76,0,0.98,0.98,0
 84-94,0,0,0,0,0,77.53,1.06,6.37,0,0,0,0,1.06,0,0,2.12,0,32.92,3.19,0,0,1.06,4.25,0,0,0,0
 96-106,0,0,0,0,0,101.63,0,4.37,1.09,0,0,0,1.09,0,0,4.37,0,41.53,5.46,0,0,0,3.28,0,0,0,0
108-118,0,0,0,0,0.77,55.15,0.77,3.83,0,0,0.77,0.77,2.3,0.77,0.77,3.06,0,41.36,7.66,0,0,0,0.77,0.77,0,0.77,0
120,0,0,0,1.96,0,47.03,0,5.88,0,0,0,0,0,0,0,1.96,0,41.16,5.88,0,0,0,1.96,0,0,0,0
