stage,blastomeres,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,13.13,0,0,0,3.28,0,0,0,2.46,6.57
 36-46,0,0,0,1.61,0,1.61,11.28,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,12.05,0.57,0,0,2.87,0,0,0,1.72,0
 60-70,0,0,0,4.91,0,0,22.58,0,0,0,3.93,0,0,0,0,2.94
 72-82,0,0,0,1.96,0.98,0,27.49,1.96,0,0,8.83,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,0,62.66,1.06,0,0,4.25,0,0,0,0,3.19
 96-106,0,0,0,2.19,0,0,66.66,0,0,0,1.09,0,2.19,0,0,3.28
108-118,0,0,0.77,0,0,0,45.96,0,0.77,0,3.83,0,0,0,0,0.77
120,0,0,0,0,0,0,68.59,0,0,0,3.92,0,0,1.96,0,0
