stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,2,9,1,0,23,0,0,6,0,1,3,0,3,0,0,0,0,3,0,0,3,128,1,1,0,0,2,1,1,2,37,0,0,0,0,0
 24-34,0,1.64,0,18.06,0,0,21.34,0.82,0.82,9.03,0,0,0,0,2.46,0,0,0,0,5.75,0.82,0,1.64,334.09,0,1.64,0,0,3.28,0,0,0.82,76.34,0,0,1.64,0,0
 36-46,0,0.81,0,6.45,0,0,36.26,0,0,12.89,0,0,0.81,0,1.61,0,0.81,0,0,8.06,0.81,0,0,538.19,0,0.81,0,0,6.45,0,0.81,0,82.18,0,0,2.42,0,0
 48-58,0,0,0,8.03,0.57,0,98.69,0,0,16.07,0,0,0.57,0.57,1.15,0,0,0,0,8.03,1.15,0.57,0.57,799.88,0,0,0,0,6.31,0,0,0,87.79,0,0,4.02,0,0.57
 60-70,0,0.98,0,14.72,0,0,190.42,0,0.98,30.43,0,0,0.98,0,0.98,0,0,0,0,11.78,0.98,0.98,0.98,1179.79,0.98,0,0.98,0.98,7.85,0,0,0,152.14,0,0,5.89,0.98,0
 72-82,0,0.98,0.98,28.47,0,0,313.15,0.98,0.98,77.55,0.98,0,0.98,0.98,2.94,0,0.98,0.98,0,18.65,1.96,0,2.94,1490.16,0,0.98,1.96,0,4.91,0,0,0,85.4,0.98,0,12.76,3.93,0
 84-94,1.06,2.12,0,61.6,1.06,0,191.17,11.68,1.06,54.16,0,0,0,0,3.19,1.06,1.06,0,1.06,16.99,0,3.19,2.12,778.47,1.06,0,1.06,3.19,22.3,0,0,0,61.6,1.06,1.06,16.99,4.25,0
 96-106,0,2.19,1.09,42.62,1.09,0,185.78,8.74,0,74.31,1.09,0,3.28,3.28,0,0,2.19,3.28,0,17.49,3.28,1.09,2.19,664.45,0,1.09,0,1.09,10.93,0,0,0,29.51,0,1.09,9.84,7.65,0
108-118,0,0.77,0,68.17,0,0,108,9.96,0,61.28,1.53,0,0.77,0.77,1.53,0,0,0.77,0,16.85,1.53,1.53,0,756.77,0,0.77,1.53,0.77,3.83,0,0,0,16.09,0.77,0,8.43,3.06,0
120,0,5.88,1.96,62.71,0,1.96,96.03,9.8,0,50.95,1.96,0,0,1.96,0,0,0,0,0,17.64,0,0,9.8,648.69,0,1.96,0,0,7.84,0,1.96,0,17.64,1.96,0,1.96,1.96,0
