stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,6,17,1,0,0,0,0,1,5,0,441,217,3,0,0,0,0
 24-34,0,0,0.82,2.46,0,0.82,0.82,0,0,0.82,0,0,9.03,0,0,0,0.82,0,3.28,0,12.31,16.42,1.64,0,0,0,0,1.64,0,0,109.99,10.67,5.75,0,1.64,0,0
 36-46,0,0,0,0,0.81,1.61,1.61,0.81,0,0.81,0,0,12.89,0,0,0,0,0.81,3.22,0,8.06,5.64,0,0,0,0.81,0,0,0.81,0,16.92,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,3.44,8.61,1.15,0,0.57,0,0,6.89,0,0,0,0,0.57,2.87,0,22.38,16.07,0,0,0.57,0,0,0,0,0,8.03,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,3.93,37.3,0,0,0.98,0.98,0,6.87,0.98,0,0,0,0,8.83,0.98,8.83,14.72,0,0,0.98,0,0,0.98,0,0,4.91,0,1.96,11.78,0,13.74,0
 72-82,0,0,0,0.98,4.91,13.74,49.08,0,1.96,6.87,0,0,6.87,0.98,0,0.98,0.98,0,24.54,6.87,12.76,27.49,0,0.98,0,0,0,2.94,0,0,1.96,0,0.98,31.41,0.98,64.79,0.98
 84-94,0,0,0,1.06,1.06,12.74,64.78,0,0,3.19,2.12,0,8.5,0,0,0,1.06,0,22.3,8.5,13.81,25.49,0,0,1.06,0,0,0,0,0,3.19,0,0,33.99,1.06,71.16,0
 96-106,0,0,0,2.19,3.28,10.93,86.33,0,0,4.37,0,0,19.67,0,0,0,1.09,0,28.41,10.93,16.39,25.14,0,1.09,0,0,0,6.56,0,0,1.09,0,0,33.88,4.37,108.19,0
108-118,0,0.77,0,3.06,1.53,15.32,73.53,1.53,0.77,4.6,0,0,11.49,0,0,0,0,0.77,26.04,4.6,6.13,33.7,0.77,0,0.77,0,0.77,1.53,0,0.77,0,0,2.3,30.64,2.3,71.23,0.77
120,0,0,0,3.92,3.92,1.96,56.83,0,1.96,1.96,0,0,7.84,0,1.96,0,0,0,5.88,3.92,1.96,29.4,0,1.96,0,0,0,1.96,0,0,1.96,0,0,33.32,1.96,88.19,0
