stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,55.17,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,44.69,0,0,0,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,3,0,0,1,0,0,0,0
 24-34,0,0,0,77.98,0,0,80.44,1.64,0,0,0.82,0,0,0,0,0,0.82,1.64,0,0,17.24,0.82,0.82,0,0,0.82,1.64,0,0,0.82,0,0,0
 36-46,0,0,0,149.85,0,0,75.73,4.83,0,1.61,0,0,0,0,1.61,0,0.81,2.42,0,0,11.28,0,3.22,0.81,0,5.64,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,165.26,0,0,66.56,2.87,2.87,4.02,0,0,0,0,0,0,1.72,1.15,0,0,8.03,0,0,0,0,1.72,0,0,0,4.59,0,0,0
 60-70,0,0,0,164.9,0,0,57.91,7.85,0.98,1.96,0,0,0,0,0,0,2.94,2.94,0,0,4.91,0,0.98,0.98,0,0.98,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,178.66,0.98,0,44.17,12.76,3.93,2.94,0,0,0,0,0,0,5.89,1.96,0,0,6.87,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,349.41,1.06,0,59.47,13.81,4.25,0,1.06,0,0,0,0,0,1.06,2.12,1.06,1.06,1.06,0,1.06,0,0,3.19,1.06,0,0,0,0,0,0
 96-106,0,0,0,326.76,1.09,0,61.2,13.11,1.09,1.09,2.19,0,0,1.09,0,4.37,7.65,5.46,1.09,0,5.46,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,209.87,0.77,1.53,60.51,13.79,0.77,0,0.77,0,0,0,0,1.53,9.19,1.53,0,2.3,3.06,0,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0
120,0,0,0,166.58,0,0,62.71,11.76,0,0,0,0,1.96,0,0,1.96,7.84,1.96,0,0,3.92,0,0,0,0,3.92,0,0,0,0,0,0,0
