stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,52.57,2.63,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,59.79,0,0,0,18.88,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,2,0,0,5,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,2.46,0,0,26.27,0,0,0,0,0.82,0,0,0.82,2.46,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0.81,0,1.61,21.75,0,0,0.81,0,1.61,0,0,0,7.25,0,0,0
 48-58,0,0,0,0,0,5.16,2.87,0,0,0,0,0,1.15,0,0,18.36,0,0,0.57,0,1.15,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,0,12.76,2.94,0,0,0,0,0,5.89,0.98,0,15.7,0.98,1.96,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,5.89,0.98,0.98,0,0,0,0.98,2.94,0,0.98,14.72,0.98,0,0.98,0,1.96,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,0,4.25,0,0,0,0,0,0,2.12,0,0,6.37,0,0,0,0,2.12,0,0,0,2.12,0,0,1.06
 96-106,0,0,0,1.09,0,4.37,3.28,0,0,0,0,0,0,0,1.09,3.28,0,0,1.09,0,1.09,0,0,0,1.09,2.19,0,0
108-118,0,0,0,1.53,0.77,2.3,0,0,0,1.53,0.77,0,2.3,0.77,0,3.06,0,0,0,0,1.53,0,0.77,0,0,0,0.77,0
120,0,0,0,0,1.96,3.92,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0,0,0
