stage,blastomeres,epidermis,fin_epithelia,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,2.42,0,3.22,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,2.3,0,1.15,0.57,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0.98,1.96,0,0,1.96,0
 72-82,0,2.94,0,0.98,2.94,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0
 84-94,0,1.06,1.06,0,1.06,1.06,0,0,0,0,0,1.06,6.37,0,0,0,0
 96-106,0,3.28,2.19,1.09,3.28,0,0,0,0,1.09,1.09,0,4.37,0,0,1.09,0
108-118,0,1.53,0,0.77,0,0,0.77,0.77,1.53,0,0.77,0,2.3,0,0.77,1.53,0.77
120,0,0,0,0,3.92,0,0,0,1.96,0,1.96,0,7.84,0,0,1.96,0
