stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,125,1,0,0,0,0,1,2,0,4,26,0,0,1,0,1
 24-34,0,0,0,47.61,0.82,0,13.95,0,0.82,0,13.13,0,0,1.64,0,0,0.82,0,0,29.55,1.64,0,7.39,306.18,0,0.82,0,0,0,1.64,0,0,0.82,68.13,0,0,4.1,0,0
 36-46,0,0,0,17.72,2.42,0,23.36,0,0,0.81,54.79,0,0,0,0,0,0,0,0,24.17,0,0,4.03,499.51,0,0.81,0.81,0,0,0,0,0,0,99.1,0,0,0.81,0,0.81
 48-58,0,0,0,13.2,0.57,0,82.63,0.57,0,1.15,126.24,0,0.57,0.57,0,0.57,0,0,1.15,46.48,0.57,0,4.02,519.29,0,0,0.57,0,0,1.15,0,0,0,95.25,0,0.57,1.72,0,0.57
 60-70,0,0,0,7.85,0,0,152.14,0,0,5.89,238.51,0,0,0.98,0,0.98,0,0,0.98,108.95,0,1.96,9.82,716.51,0,0.98,0.98,0,0.98,1.96,0,0,0,91.28,0,3.93,3.93,0,0.98
 72-82,0,0.98,0,13.74,1.96,0,162.96,0.98,0,1.96,387.76,0,0.98,0,0,0.98,0,0,0,165.9,0,1.96,16.69,762.75,0,0.98,2.94,0,7.85,0.98,0,0,0,60.86,0,9.82,0.98,2.94,0.98
 84-94,0,0,0,13.81,2.12,0,105.14,0,2.12,4.25,223.03,0,1.06,1.06,1.06,0,2.12,0,0,101.96,0,3.19,8.5,405.7,0,3.19,3.19,0,2.12,3.19,0,0,0,41.42,0,3.19,4.25,2.12,0
 96-106,0,0,0,27.32,1.09,1.09,88.52,1.09,1.09,1.09,278.68,4.37,0,1.09,0,2.19,4.37,3.28,0,134.42,0,6.56,15.3,446.97,0,0,4.37,0,4.37,4.37,0,0,0,28.41,0,2.19,5.46,1.09,1.09
108-118,0,0,0,12.26,2.3,0.77,58.21,0.77,0,4.6,268.85,0.77,0,2.3,0.77,1.53,0.77,2.3,0,108.77,0,2.3,10.72,417.45,0,3.83,1.53,0,5.36,3.83,0,0,0,19.92,1.53,2.3,4.6,0.77,0.77
120,0,0,0,21.56,1.96,0,66.63,0,1.96,1.96,305.73,1.96,0,3.92,0,0,1.96,0,0,97.99,0,7.84,11.76,550.7,1.96,3.92,1.96,0,1.96,1.96,0,1.96,0,17.64,1.96,1.96,5.88,0,0
