stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,12.59,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,3,1,2,2,0,0,0,1,0,3,0,0,3,116,2,3,0,0,0,0,0,4,0,3,51,0,7,0,0
 24-34,0,0.82,0.82,0,0,0,4.93,0.82,0,1.64,0,1.64,0.82,1.64,0.82,0,2.46,0,4.1,0,0,2.46,421.1,0,3.28,3.28,0,0,1.64,0,0,0,0,106.71,0,18.06,0,0
 36-46,0,0,0,1.61,0,0,37.06,0,0.81,4.83,0,0,0,0,0,0,0.81,0,4.83,0,0,0,1027.23,0,2.42,2.42,0,0,3.22,0,0,0.81,0,178.05,0,12.09,0,0.81
 48-58,0,0.57,0,4.59,0,0,154.35,1.72,1.15,18.36,0,0.57,1.15,0,0,0,0,0.57,13.2,0,1.72,2.87,1034,0,2.87,1.72,0,0.57,2.87,0,0,0,0,181.9,0,7.46,0,0.57
 60-70,0,0.98,0,5.89,0.98,0,472.11,0,0.98,12.76,0,0,0.98,0,0,0.98,0,0,14.72,0,0.98,0.98,1377.08,0,0.98,0.98,0,0,5.89,0,0,0,0,146.25,0.98,1.96,0,0
 72-82,0,0,0,7.85,0.98,0,355.36,0,0.98,24.54,0,0,0,0,0,0,0,0,19.63,0.98,0,1.96,776.49,0,3.93,4.91,0,0,3.93,0,0,0,0,66.75,0,3.93,0,1.96
 84-94,0,0,0,16.99,2.12,0,183.73,0,0,19.12,1.06,1.06,1.06,0,0,1.06,0,0,8.5,0,0,0,382.33,0,1.06,8.5,0,0,10.62,0,0,0,0,33.99,0,4.25,1.06,0
 96-106,0,2.19,0,16.39,2.19,2.19,145.35,0,2.19,19.67,0,0,2.19,0,1.09,2.19,0,0,13.11,1.09,0,1.09,273.21,0,4.37,8.74,0,0,13.11,0,0,1.09,0,13.11,0,2.19,1.09,2.19
108-118,0,0,0,17.62,1.53,9.19,97.28,1.53,0,13.02,1.53,0,0.77,0.77,0.77,0.77,3.06,0,10.72,0.77,0,1.53,305.62,0,3.06,6.89,0,0,9.19,0,0,0,0,10.72,0,6.89,0,1.53
120,0,0,0,17.64,3.92,5.88,90.15,0,0,9.8,1.96,0,0,1.96,1.96,0,0,0,9.8,0,0,1.96,295.93,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,1.96,0,1.96
