stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,22,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,0.82,0,0,0,0.82,14.78,0,0,0
 36-46,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,31.42,4.83,0,0,0,0,1.61,0,0,0
 48-58,0.57,0,0,24.67,0,0.57,0,0,0.57,0,0.57,0,0,0,0.57,0,0.57,0.57,33.85,5.16,0,0,0,0,2.87,0,0,0
 60-70,0.98,0,0,48.09,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,77.54,7.85,0,0,0,0,0.98,0,0,0
 72-82,1.96,0,0,77.55,1.96,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,132.52,15.71,1.96,0,0,0,1.96,0,0.98,2.94
 84-94,2.12,0,0,45.67,0,0,3.19,0,1.06,2.12,0,1.06,0,0,1.06,0,1.06,0,62.66,11.68,0,0,0,0,1.06,0,0,5.31
 96-106,0,1.09,0,63.39,0,0,4.37,1.09,0,4.37,0,0,1.09,0,3.28,0,0,0,76.5,14.21,1.09,0,0,0,0,0,0,2.19
108-118,0.77,0,0.77,56.68,0,0,0,0,0,9.96,0,1.53,0,0,2.3,0,0.77,0.77,90.38,6.89,1.53,0,0,0,0.77,0.77,0,2.3
120,0,0,0,86.23,0,0,0,0,0,21.56,0,0,0,0,1.96,0,0,0,97.99,13.72,0,0,1.96,0,3.92,0,0,1.96
