stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,36.94,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,4.59,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,8.83
 72-82,0,0,2.94,0,0,0.98,0,0,0,10.8,0.98,0,0,0,3.93,0,0,0,1.96,0,0,0,0,0,0,0,0,2.94,1.96,20.61
 84-94,0,0,6.37,3.19,0,1.06,0,0,0,9.56,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,31.86
 96-106,0,0,51.36,14.21,0,6.56,1.09,3.28,28.41,17.49,12.02,0,8.74,1.09,2.19,2.19,1.09,1.09,10.93,1.09,0,12.02,0,0,0,0,0,7.65,3.28,49.18
108-118,0,0,48.26,22.98,3.06,2.3,3.06,0.77,50.55,23.74,10.72,0,10.72,2.3,7.66,0,0,0,6.89,1.53,0,16.85,0,0.77,0,2.3,1.53,3.06,2.3,106.47
120,1.96,0,72.51,50.95,0,0,1.96,1.96,64.67,21.56,17.64,1.96,5.88,0,13.72,1.96,0,1.96,13.72,3.92,0,15.68,3.92,0,1.96,3.92,1.96,9.8,3.92,50.95
