stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,12,2,0,5,0,0,4,0,0,0,0,0,0,1,0,0,55,2,0,0,0,0,0,1,3,1,5,9,0,0,0
 24-34,0,0,0,2.46,0,0,9.85,0,0,0.82,0,0,0,0,1.64,0,5.75,0,0,102.61,0.82,0,0.82,0,0,0,0,0,0,0.82,6.57,0,1.64,0
 36-46,0,0,0,0,0,0,17.72,0.81,0,4.03,0,0,0,0,0,0,2.42,0.81,0.81,49.15,0,0,0,0,0,0.81,0.81,0,0,0,16.11,0,0,0
 48-58,0,0,0,0.57,0,0,10.9,0,0,4.59,0,0,0,0,0,0.57,8.03,0,0.57,15.49,0,0,0,0,0,0,0.57,0,0,0,5.74,0,1.72,0
 60-70,0,0,0,0.98,0,0,9.82,0,0,2.94,0,0,0,0,0.98,0,7.85,0,0,12.76,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,2.94,0.98,0,4.91,0,0,7.85,0,0,3.93,0,0,0.98,5.89,0.98,0.98,19.63,0,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0
 84-94,0,0,0,3.19,1.06,1.06,5.31,0,0,2.12,1.06,0,2.12,0,0,1.06,5.31,2.12,1.06,13.81,0,0,0,0,0,4.25,0,0,0,0,0,0,6.37,1.06
 96-106,0,0,0,4.37,1.09,0,5.46,0,1.09,6.56,0,1.09,9.84,1.09,0,0,3.28,1.09,0,8.74,0,0,1.09,0,0,19.67,1.09,0,0,0,0,0,4.37,0
108-118,0,0,0.77,3.83,0,0,5.36,0,0.77,3.06,0.77,0.77,7.66,0,0,0.77,4.6,0.77,1.53,11.49,0,1.53,0,0,0,10.72,2.3,0,0,0,0.77,0.77,6.89,0
120,0,0,0,1.96,0,0,5.88,1.96,0,1.96,0,0,23.52,1.96,0,0,3.92,0,3.92,11.76,0,0,1.96,0,1.96,52.91,0,0,0,0,0,0,9.8,0
