stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,2.63,0,0,0,0,2.63,2.63,0,10.51,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,1.15,0.57,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0
