stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,98.07,1366.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,26.29,18.4,0,39.43,0,0,0,78.86,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,654.55,21.03,0,0,268.13,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,18.88,0,3.15,0,47.2,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,591.63,15.73,0,0,229.73,0,3.15,0,22.03,3.15,0,0,0,0,0
 14-21,0,0,0,2,12,4,0,8,0,0,0,2,0,1,0,0,1,0,0,0,0,7,0,0,6,132,4,1,3,2,3,0,16,0,14,40,0,1,0,0
 24-34,0,0,0,0.82,5.75,0,0,24.63,0,0,0.82,5.75,0,0.82,0.82,0.82,0.82,0.82,0.82,0,0,7.39,0,0,6.57,217.53,0,2.46,2.46,0,3.28,0,1.64,0.82,3.28,41.04,0,3.28,0,0.82
 36-46,0,0,0,0,2.42,0,0,79.76,0,0.81,0,16.92,0.81,0,0,0,0,0.81,0.81,1.61,0.81,21.75,0.81,0,8.06,311.79,0,1.61,0.81,0,2.42,0,0,0.81,0,58.01,0,2.42,0.81,2.42
 48-58,0,0,0.57,0,0.57,0.57,0,103.28,0,0.57,0.57,21.8,0,0,1.15,0,0,0,0.57,1.15,0.57,38.44,0.57,1.72,9.18,266.82,0,1.15,0,0,1.15,0,0,1.15,0,49.35,0,1.15,0,1.72
 60-70,0,0,0,0,4.91,0.98,0,98.15,0.98,0.98,2.94,13.74,0,0,0,1.96,0.98,0,0.98,0,0,28.46,0,4.91,6.87,238.51,0.98,0,0.98,0,4.91,0,0.98,0,0,15.7,0,0.98,0,0
 72-82,0,0,0,0,3.93,1.96,0,82.46,0,0,0.98,16.69,0.98,0,0,0.98,0.98,0,0,0.98,0.98,58.9,1.96,0.98,3.93,208.11,0,1.96,4.91,0,1.96,0,0,0,0,8.83,0,2.94,0.98,0
 84-94,0,0,1.06,0,3.19,2.12,1.06,58.41,0,1.06,0,8.5,2.12,0,0,0,0,1.06,1.06,0,1.06,24.43,0,1.06,6.37,80.71,0,0,2.12,0,7.43,0,0,0,0,7.43,0,4.25,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,0,39.34,0,0,2.19,10.93,0,0,1.09,2.19,1.09,2.19,1.09,2.19,0,29.51,0,1.09,2.19,65.57,1.09,2.19,0,0,12.02,0,0,0,0,2.19,1.09,2.19,2.19,0
108-118,0,0,0.77,0,6.89,2.3,2.3,25.28,0,1.53,2.3,9.19,1.53,0,0,0,0,0,0,0.77,0,13.02,0,1.53,0,58.21,1.53,0.77,0.77,0,5.36,0,0,0.77,0,0.77,1.53,2.3,0.77,0
120,0,0,0,0,9.8,7.84,0,17.64,1.96,0,0,3.92,1.96,0,0,1.96,1.96,1.96,0,3.92,0,15.68,0,0,5.88,52.91,0,0,0,0,7.84,0,0,0,0,0,0,3.92,0,0
