stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,20,0,0,0,0,0
 24-34,1.64,0,0,0,0,1.64,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0,0,11.49,0,0,0.82,301.25,0,1.64,0.82,0,0,0,0.82,0,114.92,0,0,4.1,0,0
 36-46,0,0,0,0,0,4.83,0,0,0.81,4.03,0,0,0,0,0,0,0,0,0,9.67,0,0.81,2.42,619.56,0,0.81,0,0,0,0.81,1.61,0,182.89,0,0,0,0,0.81
 48-58,0,0,9.18,0.57,0,67.14,1.15,1.15,1.15,9.75,0,0,0.57,0.57,0,0.57,0,0,0,23.53,0,1.15,2.87,954.24,0,1.15,1.15,0,0,1.15,0,0.57,155.5,0,0,2.3,0.57,1.72
 60-70,0,0,1.96,0.98,0,262.07,0,2.94,3.93,12.76,0,0,0,0,0,0,0,0.98,0,39.26,0,3.93,2.94,1476.21,0,0.98,0,0.98,0.98,4.91,0,0,129.56,0,0,0,0,1.96
 72-82,0,0,12.76,3.93,0.98,592.92,0.98,4.91,6.87,47.12,2.94,0,0.98,1.96,1.96,0,0.98,0.98,0,59.88,0,4.91,4.91,2097.81,0,2.94,3.93,0,0.98,3.93,0.98,0.98,130.56,0.98,0,1.96,1.96,0
 84-94,0,0,25.49,1.06,0,370.65,1.06,1.06,2.12,44.61,1.06,1.06,1.06,1.06,0,1.06,1.06,0,1.06,36.11,0,5.31,10.62,1193.73,0,3.19,1.06,0,2.12,5.31,0,2.12,74.34,1.06,1.06,3.19,2.12,1.06
 96-106,0,0,19.67,6.56,0,360.64,0,1.09,3.28,46.99,2.19,0,0,1.09,2.19,1.09,0,5.46,0,37.16,1.09,4.37,5.46,1163.88,1.09,2.19,2.19,0,1.09,5.46,1.09,0,38.25,2.19,1.09,2.19,1.09,4.37
108-118,0,0.77,18.38,1.53,0.77,230.55,0.77,4.6,3.06,35.23,0,0,1.53,3.06,0.77,0,0.77,0.77,2.3,41.36,1.53,2.3,3.06,1102.22,0.77,1.53,3.06,0,0.77,3.06,0,0.77,31.4,0,2.3,1.53,3.83,0
120,0,0,17.64,3.92,0,235.17,1.96,1.96,5.88,35.28,1.96,0,0,3.92,0,0,0,0,0,47.03,0,3.92,1.96,1434.56,0,1.96,9.8,0,0,3.92,1.96,0,27.44,0,0,0,1.96,0
