stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,otic,periderm,spinal_cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,16.11,0,0.81,0.81,0,0,0,0,0,0,0,3.22,0,0.81,1.61,0,0,0.81,1.61,0
 48-58,0,0,0,17.79,0,3.44,0,0.57,2.3,0,0,0,0,0.57,1.15,0.57,0,4.59,0,0,0.57,2.3,0
 60-70,0,0,0,26.5,0,10.8,1.96,0,0.98,0,0,0,0,0,2.94,0,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,21.6,0,19.63,1.96,0,0,0,0,0,0,0,4.91,0,0,9.82,0,0.98,0,0,0.98
 84-94,0,0,0,52.04,2.12,18.05,3.19,0,0,0,1.06,0,1.06,1.06,7.43,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,30.6,1.09,28.41,4.37,0,2.19,0,1.09,0,0,0,9.84,1.09,0,4.37,0,0,0,0,0
108-118,0,0,0.77,47.49,0,21.45,4.6,0,0.77,0,0,0.77,0.77,1.53,7.66,0,0,3.83,0.77,0.77,0.77,0,0
120,0,0,0,47.03,0,41.16,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
