stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,2,0,0,0,0,0,0,1,97,0,0,0,0,0
 24-34,0,0,4.1,0.82,4.93,0,0,9.03,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0.82,0.82,0,0.82,335.73,0,19.7,2.46,0,0,1.64,0,0,0,143.65,0,0,0.82,0,0
 36-46,0,0,1.61,0,1.61,0,0,42.7,0,0,1.61,3.22,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,1.61,559.94,0,23.36,0.81,0,0,0.81,0,0,0,195.78,0,0,0,0,0
 48-58,0,0,2.3,0,3.44,0,0,87.79,0,0.57,1.72,8.61,0,0,0,0,0.57,0,0.57,0,0,9.75,0.57,0,1.15,634.63,0.57,15.49,0,0,0,0,0,0,0,160.09,0,0,0.57,0,2.3
 60-70,0,0,0.98,0,2.94,0,0,180.6,0,0,0.98,19.63,0,0,0,0,0,0,0,0,0,11.78,0.98,0,0.98,1082.62,0.98,10.8,0,0,0,1.96,0,0,0,175.69,0,0,0,0.98,0.98
 72-82,0,0,4.91,0,4.91,0.98,0,332.78,0,0.98,0,43.19,2.94,0,0.98,1.96,0,0,0,0.98,0,27.49,0,0,0,1323.28,0.98,30.43,0.98,0,0.98,4.91,0.98,0,0,137.43,0,0,0,6.87,0.98
 84-94,0,0,3.19,0,9.56,2.12,0,240.02,0,1.06,1.06,39.3,3.19,0,0,2.12,0,1.06,1.06,0,0,16.99,1.06,1.06,1.06,756.17,0,21.24,1.06,0,0,5.31,2.12,0,0,64.78,1.06,0,2.12,4.25,0
 96-106,0,0,1.09,0,8.74,6.56,0,250.26,1.09,2.19,0,51.36,4.37,1.09,0,0,0,1.09,0,2.19,2.19,14.21,2.19,0,1.09,691.77,0,33.88,3.28,0,1.09,6.56,0,0,0,37.16,1.09,0,0,10.93,1.09
108-118,0,0,3.06,0,9.96,0.77,6.89,169.28,0.77,2.3,0.77,35.23,3.83,0,0,0,0.77,0.77,0,1.53,0.77,10.72,1.53,0.77,3.06,881.62,0,17.62,0.77,0,0.77,3.83,0.77,0,0,32.17,1.53,0.77,0.77,4.6,0
120,0,0,1.96,0,7.84,0,0,172.46,0,1.96,0,41.16,1.96,0,0,3.92,0,0,0,1.96,0,11.76,0,3.92,1.96,979.89,0,21.56,3.92,0,0,3.92,0,1.96,0,39.2,0,1.96,0,7.84,0
