stage,blastomeres,endoderm,eye,glial,immune,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,0,2.63,0
 10-12,0,6.29,3.15,0,0,0,0,25.18,0,9.44,0
 14-21,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0.57,0.57,0,0,0,1.72,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,1.09,0,0
