stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,245.19,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,0,0,0,15.77,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,47.32,60.46,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,12.59,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,418.55,9.44,0,0,40.91,22.03,0,12.59,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,661,1,0,8,0,11,0,0,0,0,0,0,9,0,1,1,3,0,4,14,1,0,1,1,164,5,0,1,17,5,0,0,0,0
 24-34,0,0,0.82,339.83,0,0,5.75,19.7,52.53,0.82,0.82,0.82,1.64,0,0,9.85,0,0.82,1.64,9.85,0,7.39,36.12,9.03,0.82,0,0,59.1,0,0,2.46,22.16,6.57,0,0,0.82,0.82
 36-46,0,0,0,66.06,0,0,3.22,34.64,70.09,0,0.81,0,0.81,0,0.81,3.22,0,0,0.81,0,0,3.22,18.53,5.64,1.61,0,0,20.14,0,0,0,2.42,3.22,0,0,0.81,0
 48-58,0,0,0,56.23,0.57,0,1.72,25.82,68.86,0,2.3,0,8.61,0,1.15,0.57,0,0,3.44,4.02,0,1.72,20.08,3.44,3.44,0.57,0,17.21,0,0,0.57,0,1.72,0,0,0,0.57
 60-70,0,0,0,41.22,0,0,2.94,8.83,51.04,0.98,1.96,1.96,0.98,0,0.98,1.96,0,0,3.93,4.91,0,0,10.8,3.93,3.93,0,0,14.72,0,0.98,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,42.21,0.98,0,9.82,0,78.53,0,1.96,8.83,2.94,0.98,0,9.82,0,0,2.94,13.74,0.98,0,29.45,0.98,2.94,0,0,87.37,0,0,0,0,0,0.98,0,0.98,1.96
 84-94,1.06,0,0,49.92,0,0,9.56,1.06,94.52,0,2.12,15.93,1.06,0,1.06,5.31,1.06,0,1.06,4.25,0,1.06,8.5,0,0,0,0,32.92,0,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,136.61,2.19,1.09,18.58,10.93,90.71,0,8.74,59.01,1.09,1.09,1.09,17.49,1.09,3.28,13.11,6.56,1.09,2.19,26.23,0,19.67,3.28,0,249.17,0,1.09,0,0,1.09,3.28,0,0,0
108-118,0,0,0,65.11,0,0,9.96,4.6,124.85,1.53,4.6,8.43,0,0,0,5.36,0,0,4.6,2.3,0,3.06,16.85,0.77,7.66,2.3,0,74.3,0,0,2.3,0,0.77,2.3,0,0,0
120,0,0,0,70.55,1.96,0,1.96,1.96,58.79,1.96,0,17.64,0,0,0,5.88,0,0,3.92,1.96,0,0,7.84,0,3.92,0,0,56.83,0,0,0,0,0,3.92,0,0,0
