stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,158.14,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,551.67,24.52,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,28.92,5.26,86.75,0,0,10.51,0,0,21.03,0,0,0,0,0,0,144.58,23.66,0,344.36,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,53.5,3.15,0,135.32,0,0,0,15.73,0,0,0,0
 14-21,0,0,4,1,1,1,1,1,0,0,0,0,2,0,3,8,0,0,0,0,2,5,0,0,7,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,5.75,0,0,0,0,0.82,0,0,0.82,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,1.61,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0.57,0,0,0,0,2.3,0.57,1.15,1.15,0,0,0,0,0.57,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0.98,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,2.12,0,0,0,0,1.06,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,3.92,0,0,3.92,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
