stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,65.89,1067.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,36.78,723.3,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,10.51,7.89,7.89,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,170.87,10.51,0,0,49.95,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,3.15,0,0,0
 14-21,0,0,3,12,0,7,0,0,3,0,0,3,0,7,0,0,1,458,0,0,2,0,0,0,0,0,0,3,73,0
 24-34,0,0,0,14.78,0,77.16,0.82,0.82,42.68,0,4.93,2.46,0,64.85,2.46,0,29.55,3865.41,0.82,0.82,14.78,0,0.82,2.46,0,0,0,1.64,1069.58,3.28
 36-46,0,0,0,1.61,0.81,70.9,0,2.42,42.7,0,0,1.61,0.81,72.51,0,1.61,23.36,1412.34,2.42,2.42,1.61,0,0,2.42,0.81,0.81,0,0.81,1166.61,2.42
 48-58,0,0,0,0.57,0,24.1,0,1.15,9.18,0,1.15,0,0,26.97,0,0,9.75,102.71,0,0,1.15,0,0,0,0,0,0,0,133.12,0
 60-70,0,0,0,0,0,11.78,0,1.96,3.93,0,0,0,0,1.96,0,0,3.93,24.54,0,0,0,0,0,0,0,0,0,0,9.82,0
 72-82,0,0,0,0,0,8.83,0,0.98,0.98,0,0,0,0,0.98,0,0,2.94,7.85,0,0,0,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,0,8.5,0,0,1.06,0,0,0,0,9.56,0,1.06,2.12,4.25,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,4.37,0,0,3.28,0,0,0,0,1.09,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,3.83,0,0,0,0,0,0,0,1.53,0,0,0.77,5.36,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0
