stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,2.63,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,7,1,0,0,0,0,0,1,0,0,38,0,0,1,0,0,0,17,16,0,1,0,0,1,3,2,0,0
 24-34,0,0,2.46,0,4.93,0,0,0,0,0,0,0,19.7,0,0.82,0.82,0,0,0.82,13.13,1.64,0,0,0,0.82,0,5.75,0.82,0,0
 36-46,0,0,1.61,0,0,0,0,0,0.81,0,1.61,0,8.06,0,0,1.61,0.81,0,0.81,10.47,0.81,0,0,0,1.61,0,4.03,1.61,0,0
 48-58,0,0,0.57,0,2.87,0,0,0,0.57,0,0,0,8.03,0,0,2.3,0.57,0,1.15,4.59,0,0,0,0,0.57,0,4.59,4.02,0.57,0
 60-70,0,0,0.98,0,7.85,0.98,0,0,0.98,0,0,0,5.89,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0,5.89,0,0,0.98,0,0,0,0,11.78,0.98,0,1.96,0,0,0.98,13.74,0,0,0,0,0,0,3.93,1.96,0,0
 84-94,0,0,4.25,0,7.43,0,0,0,0,0,0,0,22.3,3.19,0,1.06,1.06,0,0,10.62,0,3.19,0,0,0,0,3.19,2.12,0,1.06
 96-106,0,0,5.46,0,13.11,0,1.09,2.19,0,0,0,1.09,29.51,4.37,0,6.56,0,1.09,0,18.58,0,4.37,0,1.09,2.19,0,4.37,1.09,0,0
108-118,0,0,3.83,0,8.43,0,0,0,2.3,0.77,0,0.77,18.38,3.06,0,1.53,1.53,0,0,19.15,0,2.3,0,0,0,0,3.06,0,0,0
120,0,0,1.96,0,7.84,0,0,0,0,0,0,0,13.72,1.96,0,0,0,0,0,19.6,0,1.96,0,0,0,0,0,0,0,0
