stage,blastomeres,eye,fin_mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,pgc,pronephros,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,1,0,0,0,14,0,1,0,2
 24-34,0,3.28,0,1.64,0,0,0,18.06,0,0,0,6.57
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0.57,0.57,0,0,0.57,0.57,2.87,0,0,0.57,0
 60-70,0,1.96,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0.98,0,1.96,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,0
