stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,5,0,0,0,0,0,1,62,0,0,0,0,0
 24-34,0,0,1.64,0.82,46.79,0,3.28,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,509.75,0,50.07,0.82,0,0,0,1.64,0.82,155.96,0,0,0,0,0
 36-46,0,0,0.81,0,15.31,0,37.87,0,0.81,0.81,4.03,0,0,0,0.81,0,0,0,0,0,0.81,0,0,1.61,1172.25,0.81,64.45,0,0,0,0,0,0,248.15,0,0,0,0,0
 48-58,0,0,1.72,0,8.61,0,132.55,0,1.15,0,15.49,0,0,0,0,0,0,0,0,0,4.59,0,1.15,0.57,1379.43,0.57,44.76,0,0,0,0.57,0,0,208.86,0,0,0,0,1.72
 60-70,0,0,1.96,0,24.54,0,360.22,0,6.87,0,22.58,0,0,0,0,0,0,0,0,0.98,11.78,1.96,0,0,2199.59,0,38.28,0.98,0,0,0.98,0,0,195.32,0,0,0,0,0
 72-82,0,0,7.85,0,21.6,0.98,524.21,0,3.93,0,37.3,1.96,0,0.98,0,0,0,0,0.98,0,13.74,0,1.96,0.98,1846.51,0,78.53,0,0,0.98,0,0,0,99.15,0,0.98,0.98,0.98,0
 84-94,0,0,8.5,0,38.23,0,310.11,0,1.06,0,28.68,0,0,0,0,0,1.06,0,1.06,0,9.56,0,1.06,0,895.3,1.06,72.22,2.12,0,0,3.19,0,0,59.47,1.06,0,1.06,0,1.06
 96-106,0,0,6.56,0,46.99,0,232.78,0,3.28,1.09,29.51,7.65,0,0,0,1.09,0,0,1.09,0,15.3,0,1.09,1.09,720.19,0,123.49,3.28,0,0,3.28,0,0,31.69,1.09,0,1.09,1.09,1.09
108-118,0,0,5.36,0,25.28,0.77,156.26,0,4.6,0,22.98,0,0,0,0,1.53,1.53,0.77,2.3,0,10.72,0,0.77,0,844.09,0,75.83,0,0,0,0.77,0.77,0,21.45,3.06,0,0,0,0
120,0,0,1.96,0,25.48,3.92,113.67,1.96,3.92,0,13.72,1.96,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,703.56,0,33.32,0,0,0,0,0,0,11.76,0,0,0,0,0
