stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.83,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38,0,0,36.8,105.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,138.47,0,0,37.76,53.5,3.15,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,16,5,1,0,347,1,0,0,3,1,0,0,0
 24-34,0,0,0.82,0,22.16,0,2.46,0,3.28,0,0,0,2.46,0.82,0,6.57,0,16.42,0,2.46,17.24,0,0.82,44.33,29.55,0,0,934.13,0,0.82,0.82,0,5.75,0,0,0.82
 36-46,0,0,0,0,13.7,0,2.42,0.81,6.45,0,0,0,0,0,0,4.03,0,8.86,0,0.81,10.47,0,1.61,35.45,16.92,0.81,0,984.53,0,0,0,0,4.03,0,0,0.81
 48-58,0,0,0,0,8.61,0,8.03,0,9.18,1.15,2.87,1.15,0,0,0,1.15,0.57,13.77,0.57,4.59,4.59,0,0.57,28.12,5.16,0.57,0,706.93,0,0,0,0,6.31,0,0,0.57
 60-70,0,0,0,0,14.72,0,2.94,0,2.94,0,0.98,0,0,0,0,0,0,10.8,0,1.96,4.91,0,0,12.76,3.93,1.96,0,446.59,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,45.16,1.96,8.83,0,1.96,0,0,2.94,0,0,0,5.89,0,29.45,0,2.94,1.96,0.98,0,18.65,5.89,1.96,0,336.71,0,0,0.98,0,1.96,6.87,0.98,0
 84-94,0,0,0,0,99.83,0,1.06,0,12.74,0,0,8.5,0,0,0,14.87,0,45.67,0,4.25,6.37,0,0,8.5,6.37,1.06,0,929.28,0,0,0,0,0,48.85,0,0
 96-106,0,0,0,0,97.26,2.19,7.65,1.09,14.21,1.09,5.46,8.74,0,0,1.09,1.09,0,42.62,0,3.28,4.37,0,0,5.46,8.74,0,0,546.42,0,0,0,0,0,51.36,0,0
108-118,0,0,0,0,120.26,0,3.06,0,10.72,0.77,0,4.6,0,0,0,10.72,0.77,32.94,0,4.6,3.06,0,1.53,6.13,4.6,0,0,355.41,0,0,0,0,0,41.36,0,0
120,0,0,0,0,60.75,1.96,0,0,9.8,0,1.96,3.92,0,0,0,7.84,0,13.72,0,0,1.96,0,0,1.96,3.92,0,0,223.42,0,0,0,0,0,9.8,0,0
