stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,gut,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,somites,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,4.91,0,0.98,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,2.12,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,1.09,8.74,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0.77,0,0,0.77,0.77,0.77,16.09,0.77,0,1.53,0,1.53,0,0,0,0
120,0,0,0,1.96,0,0,0,13.72,0,0,0,0,0,0,0,0,1.96
