stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,11,2,0,27,0,1,0,8,0,0,0,0,0,0,0,10,0,0,9,320,0,0,2,1,0,1,0,3,1,1,24,115,0,0,0,0,0
 24-34,0,0.82,0,0,13.95,0,0,89.47,0,0,3.28,18.88,1.64,0,0,0.82,0,3.28,0,45.15,0,0,27.91,1058.9,0,11.49,5.75,0.82,0,1.64,0,0,2.46,1.64,15.6,274.17,0,0,1.64,0,0
 36-46,0,0,0,0,8.06,0,0,84.6,0,0,4.03,43.51,0.81,0,0.81,0,0,2.42,0,56.4,0,0,20.14,1062.68,0,8.06,5.64,0,0,1.61,0,0,0,1.61,0,273.93,0,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,113.61,0.57,0,5.74,79.76,0.57,0,0,0,0.57,4.59,1.72,102.71,0,1.15,22.38,946.2,0,4.02,8.03,0,0,0.57,0,0,0.57,0,0,236.41,0,1.72,1.15,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,169.8,0,0.98,3.93,95.21,0.98,0,0,0.98,0.98,0.98,0.98,152.14,0.98,1.96,17.67,939.32,0,0,6.87,0,0,0,0,0,0.98,0,0,170.78,0,2.94,0.98,0,0
 72-82,0,0,0,0,6.87,0,0,152.16,0.98,0.98,2.94,97.18,0.98,0,0,0,0,10.8,0.98,180.63,0,0.98,15.71,726.43,0.98,2.94,2.94,0,0.98,2.94,0,0,0.98,0.98,0,72.64,0.98,0.98,0.98,0,0
 84-94,0,0,0,0,2.12,0,0,131.69,0,1.06,2.12,81.78,1.06,0,1.06,0,1.06,7.43,0,100.89,0,1.06,12.74,361.09,1.06,7.43,5.31,0,0,3.19,0,0,0,0,0,58.41,0,3.19,0,3.19,0
 96-106,0,0,0,0,5.46,1.09,0,61.2,0,1.09,2.19,50.27,2.19,0,0,0,0,8.74,1.09,84.15,1.09,0,17.49,278.68,0,6.56,5.46,0,0,1.09,0,0,0,0,0,10.93,0,1.09,2.19,4.37,1.09
108-118,0,0,0,0,6.13,1.53,2.3,74.3,0.77,0.77,0,49.79,0.77,0.77,0.77,0,0.77,6.89,0,82.72,0,0.77,12.26,257.36,0,12.26,6.13,0,0,0.77,0,0,0,0.77,0,9.96,0.77,0,0.77,1.53,0
120,0,0,0,0,23.52,1.96,0,92.11,0,0,3.92,82.31,0,0,1.96,0,0,13.72,0,88.19,0,0,29.4,440.95,0,3.92,9.8,0,0,0,0,0,0,0,0,25.48,0,0,3.92,1.96,0
