stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,13.13,0,3.28,0,0.82,7.39,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,35.45,0,0,0,0,12.09,0,0,0,0
 48-58,0,0,0,8.03,0,1.72,0,0,0,0,0,0,0,0,0,48.77,0,0,0.57,0.57,10.33,0,1.15,0,0.57
 60-70,0,0,0,34.35,0,0,0,0,0,0,0,0.98,1.96,0,0,95.21,0,0.98,0,0,14.72,0,0,0,0
 72-82,0,0,0.98,59.88,0.98,3.93,0,0,0,0,0,0.98,4.91,0,0,113.87,0,1.96,0,0,9.82,0,0.98,0,0
 84-94,1.06,0,0,45.67,0,3.19,0,0,1.06,0,0,1.06,1.06,0,0,59.47,0,0,1.06,1.06,4.25,0,1.06,0,0
 96-106,1.09,1.09,1.09,38.25,0,3.28,0,0,1.09,0,0,0,3.28,0,1.09,63.39,0,0,1.09,3.28,0,0,0,0,0
108-118,0,1.53,0,26.81,0,3.83,0,0,0,0.77,0.77,2.3,0.77,0.77,0.77,55.15,0,1.53,2.3,0.77,0.77,0.77,0,0,0
120,0,0,0,39.2,0,3.92,0,0,0,0,0,0,0,0,0,66.63,0,0,0,0,3.92,0,0,1.96,0
