stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,901.06,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,10.51,0,0,0,36.8,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,297.04,15.77,0,0,113.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,28.32,0,3.15,0,40.91,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,236.02,3.15,0,0,125.88,0,0,6.29,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,12,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,30,0,0,1,3,0,2,0,3,4,1,7,32,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,0,8.21,0,0,0,2.46,0.82,0,0,0,0,0,0,0,13.13,0,0,1.64,77.16,1.64,1.64,0.82,0,0,5.75,0,0,2.46,0.82,0,18.88,0,4.1,0,0.82
 36-46,0,0,0,0,0.81,0,0,12.89,0,0,0.81,3.22,0,0,0,0,0,0,0,0,11.28,0,0.81,1.61,88.62,0.81,0,0.81,0,0,1.61,0,0,0.81,0,0,27.39,0,2.42,0,0.81
 48-58,0,0,0,0,2.3,0,0,22.38,0,0,0.57,6.31,0,0,0,0,0,0,0,0,8.03,0,0.57,1.72,87.79,0,0.57,0.57,0,0,0.57,0,0.57,0.57,0,0,16.64,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,29.45,0.98,0,0,5.89,0,0,0,0,0,0,0,0.98,16.69,0,0,4.91,72.63,0.98,0,0,0,0,0,0,0,0,0,0,7.85,0,2.94,0,0
 72-82,0,0,0,0,1.96,0,0,31.41,0,0,0,13.74,0,0,0,0,0,0,1.96,0,19.63,0,0,1.96,81.48,0,3.93,0.98,0,0.98,1.96,0,0,0,0,0,10.8,0,1.96,0,0.98
 84-94,0,0,1.06,0,3.19,0,0,25.49,0,0,0,4.25,1.06,0,1.06,1.06,1.06,2.12,1.06,0,14.87,0,0,2.12,32.92,0,3.19,1.06,0,1.06,9.56,0,0,0,1.06,0,7.43,0,2.12,1.06,1.06
 96-106,0,0,1.09,1.09,3.28,0,1.09,4.37,0,0,0,7.65,1.09,0,1.09,0,0,0,0,0,9.84,0,0,3.28,20.76,0,2.19,2.19,0,0,5.46,0,0,0,0,0,0,1.09,2.19,0,1.09
108-118,0,0,0,0,5.36,0.77,0,12.26,0,0.77,0,4.6,0,0,0,0.77,0,1.53,0,0,10.72,0,0.77,0.77,32.17,0,1.53,3.06,0,0,3.83,0,0,0,0,0,0,0,3.06,0.77,0
120,0,0,0,1.96,1.96,0,0,13.72,0,3.92,0,1.96,1.96,0,0,3.92,1.96,0,1.96,0,5.88,1.96,0,0,29.4,0,0,3.92,0,0,3.92,0,0,0,0,0,1.96,0,1.96,0,0
