stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,otic,spinal_cord,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,3.15,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,1,6,0,2,0
 24-34,0,0,0.82,0,0,1.64,0,7.39,0,6.57,0
 36-46,0,0,2.42,0.81,0,0,0,3.22,0,0.81,0
 48-58,0,0.57,1.15,0.57,0,0,0,1.72,0,0,0
 60-70,0,0,0.98,0.98,0.98,0,0,1.96,0,0.98,0.98
 72-82,0,0,0.98,0.98,0,0.98,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0
