stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,19,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,6,0,6,234,157,0,1,2,0,2,7,0,0,12,138,0,0,0,0,0
 24-34,1.64,0,8.21,0.82,0,18.88,0,0.82,0,5.75,0.82,0,0.82,0.82,0,0,0,0.82,0,18.88,0.82,9.03,809.36,9.85,6.57,4.93,0,0,1.64,0.82,0,0.82,2.46,280.73,0,0,3.28,0,0
 36-46,0,0,1.61,0,0,47.53,0,2.42,0,5.64,0,0,0,0,0,0,0.81,0,0,15.31,0.81,3.22,1415.56,2.42,2.42,1.61,0,0,7.25,0,0.81,0,0,372.22,0,0,3.22,0,0.81
 48-58,0,0,6.89,0.57,0,117.06,0.57,0,1.15,20.66,1.15,0.57,0,0.57,0,0,0.57,0,0.57,21.8,1.15,5.16,1478.7,0.57,1.72,4.02,0,0,6.89,0,0,0,0,312.15,0,0,2.3,0,1.72
 60-70,0.98,0.98,4.91,0.98,0,202.19,0,0.98,1.96,16.69,0.98,0,0,0,1.96,0.98,1.96,0.98,0,20.61,1.96,4.91,1655.83,0,0.98,5.89,0,0,4.91,0,0.98,0,0,248.33,0,0,2.94,0,0.98
 72-82,1.96,0.98,9.82,3.93,0.98,294.5,0.98,0.98,0.98,31.41,2.94,0,0,0.98,0,0.98,1.96,0.98,0,59.88,0.98,7.85,1501.94,0.98,6.87,12.76,0,0.98,9.82,0,0,0,0,143.32,0.98,2.94,1.96,2.94,0.98
 84-94,1.06,0,12.74,2.12,2.12,172.05,0,2.12,0,18.05,2.12,0,1.06,1.06,1.06,0,1.06,1.06,0,38.23,1.06,3.19,647.84,2.12,2.12,9.56,0,0,8.5,0,0,0,0,64.78,0,1.06,7.43,1.06,2.12
 96-106,1.09,0,16.39,0,1.09,99.45,0,0,2.19,14.21,0,0,1.09,2.19,1.09,0,5.46,1.09,0,32.79,2.19,1.09,530.03,0,4.37,26.23,0,0,10.93,0,0,0,0,33.88,0,1.09,0,1.09,1.09
108-118,0,0,9.96,1.53,2.3,81.96,0,0.77,0.77,21.45,1.53,0,0,1.53,0.77,0.77,2.3,0.77,0,20.68,0,2.3,559.15,0,0,21.45,0,0,2.3,0,1.53,0,0,19.92,0.77,0,1.53,0,0
120,0,0,15.68,3.92,0,74.47,0,0,0,5.88,1.96,0,1.96,1.96,0,1.96,0,1.96,0,17.64,0,1.96,648.69,1.96,0,17.64,0,0,3.92,0,1.96,0,0,25.48,0,1.96,0,0,0
