stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1238.19,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,39.43,0,78.86,0,0,0,131.44,0,0,0,0,0,70.98,0,0,0,0,0,0,0,0,0,0,1127.72,68.35,0,0,428.48,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,62.94,0,3.15,0,122.73,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,1047.94,40.91,0,0,330.43,0,0,6.29,0,56.65,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,5,32,8,0,13,0,1,0,9,2,0,1,0,0,0,0,4,0,25,0,23,336,3,0,3,4,0,0,3,6,2,1,9,163,0,0,1,0,0
 24-34,0,0,0.82,0,16.42,2.46,0,59.92,0,0,3.28,12.31,0,0,0.82,0,0.82,0,0.82,0.82,0,76.34,0,23.8,1173.82,3.28,9.85,6.57,0,0,0,0,0,0,0,5.75,334.09,0,0,8.21,0,1.64
 36-46,0,0,0,0,4.03,0,0,197.39,0.81,1.61,2.42,39.48,0,0,4.03,0.81,0,0.81,1.61,0.81,1.61,76.54,3.22,23.36,1966.64,0,5.64,4.83,0,0,4.03,0,0,0.81,0.81,0,450.37,0,0,6.45,0,0.81
 48-58,0,0,0,0,13.2,0.57,0,355.19,0.57,1.15,4.02,75.17,0,0,2.87,0,0,1.15,0.57,0,0.57,127.38,4.02,20.66,1832.73,0.57,4.59,1.72,0,1.72,3.44,0,0,0,1.15,0,379.29,0,1.72,5.16,0,5.74
 60-70,0,0,0.98,0,7.85,0,0,500.58,0.98,0.98,0,67.73,0.98,0,2.94,1.96,0,0,0,0,0.98,128.58,0.98,8.83,1946.36,0.98,2.94,2.94,0,0.98,1.96,0,0,0,0,0,288.57,0.98,1.96,3.93,0,2.94
 72-82,0,0,0.98,0,9.82,2.94,0,430.95,0.98,1.96,5.89,71.66,1.96,0,4.91,0.98,2.94,0,2.94,0.98,0.98,156.08,5.89,8.83,1474.46,0,7.85,3.93,0,0,0.98,0,0,0,0.98,0,174.74,0,0.98,4.91,7.85,0.98
 84-94,0,0,0,0,21.24,2.12,0,286.75,0,1.06,6.37,52.04,5.31,0,3.19,4.25,1.06,1.06,2.12,0,1.06,86.03,9.56,16.99,727.5,1.06,2.12,6.37,0,1.06,4.25,0,0,1.06,0,0,71.16,1.06,7.43,7.43,5.31,1.06
 96-106,0,0,0,0,19.67,1.09,0,182.51,1.09,1.09,1.09,45.9,3.28,0,1.09,1.09,1.09,2.19,1.09,1.09,0,86.33,1.09,8.74,560.63,1.09,6.56,4.37,0,2.19,5.46,0,0,1.09,0,0,31.69,0,3.28,2.19,3.28,1.09
108-118,0,0,0,0,13.79,3.06,0.77,139.41,0.77,1.53,2.3,29.11,2.3,0,0.77,3.06,0,3.06,1.53,0,0.77,56.68,3.06,6.89,647.24,0,3.06,2.3,0,4.6,4.6,0,0,0.77,0,0,22.98,0,2.3,3.83,3.83,0.77
120,0,0,0,0,13.72,0,0,152.86,1.96,3.92,3.92,27.44,1.96,0,0,0,0,0,1.96,0,0,39.2,0,7.84,723.16,3.92,5.88,1.96,0,0,1.96,0,0,0,0,0,21.56,0,1.96,5.88,1.96,0
