stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,1,2,3,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82,0,0,0,13.13,0,0,0.82,0,0,0,0,1.64,0,0,0,1.64,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,0,0,0,0,1.72,0,0.57,1.72,6.31,0,0.57,0.57,0,0,0,0,1.15,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0.98,0.98,0,1.96,0,0,0,0,2.94,0,0,0.98,5.89,0,0,0.98,0,0,0,0,3.93,0,0.98,0,0,0
 72-82,0,0,2.94,0,0.98,3.93,3.93,0,0,15.71,0,0,0,0,6.87,0,0,0,3.93,0,0,4.91,0,0,0,0,3.93,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,1.06,0,0,19.12,1.06,0,0,0,0,0,0,0,3.19,0,0,4.25,0,0,0,1.06,6.37,0,1.06,0,4.25,0
 96-106,0,0,3.28,1.09,0,3.28,3.28,1.09,0,37.16,0,0,0,1.09,3.28,1.09,0,0,6.56,0,2.19,3.28,0,1.09,0,0,15.3,0,0,1.09,2.19,0
108-118,0,0,0,0,0,0.77,1.53,0.77,0,35.23,0.77,0.77,0,0,3.83,0,0,0.77,5.36,0,0.77,6.89,0,0.77,0,0,14.55,0,0,0,0.77,0.77
120,0,0,0,0,0,0,1.96,0,0,45.08,0,0,0,0,1.96,0,0,0,11.76,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0
