stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,22.03,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,3,0,0,0,6,1,0,1,17,1,0,0,0,0,0,3,2,1,10,14,0,0,2,0,0
 24-34,0,0,1.64,0.82,4.1,0.82,6.57,0,0,0,1.64,0,0,2.46,0.82,4.93,0,0,1.64,20.52,0,0,7.39,65.67,0,0,3.28,0,0,0,0,2.46,12.31,4.93,27.09,0,0,10.67,0,0.82
 36-46,0,0,0,0,0.81,0.81,82.98,2.42,0,0.81,10.47,0,0,3.22,0,3.22,0.81,1.61,0,43.51,0.81,2.42,8.06,198.19,0.81,0.81,1.61,0,0,1.61,0,0,11.28,0.81,130.52,0,0,9.67,0,0.81
 48-58,0,0,0,0,1.72,0,95.25,0.57,0,1.72,22.95,0,0,3.44,0,0,0,0,0,47.63,0,0.57,5.74,141.16,0.57,0,0.57,0,0.57,0,0,0.57,4.59,0,108.45,0,0.57,7.46,0,0
 60-70,0,0,0.98,0,3.93,0,142.32,0.98,0,0.98,55.95,0,0.98,2.94,0.98,2.94,1.96,0.98,0,97.17,0,2.94,5.89,144.28,0,0,0,0,0,0,0,0.98,2.94,0,82.45,0,1.96,7.85,1.96,1.96
 72-82,0,0,0.98,0,0,0.98,48.1,0,0,0.98,68.72,0,0,2.94,0,2.94,2.94,0,0,144.3,1.96,8.83,7.85,82.46,0,0,4.91,0,0,3.93,0,0.98,0.98,0,24.54,1.96,3.93,17.67,10.8,1.96
 84-94,0,0,0,0,0,2.12,45.67,1.06,2.12,3.19,52.04,0,0,3.19,0,1.06,3.19,3.19,0,101.96,0,1.06,5.31,67.97,2.12,0,2.12,0,2.12,5.31,0,3.19,0,0,28.68,1.06,8.5,16.99,8.5,0
 96-106,0,0,0,0,6.56,1.09,28.41,1.09,0,0,34.97,2.19,0,3.28,2.19,1.09,6.56,0,0,68.85,0,2.19,3.28,63.39,1.09,0,3.28,0,0,10.93,0,0,2.19,0,6.56,0,2.19,8.74,14.21,2.19
108-118,0,0,0,0,3.06,3.06,22.21,1.53,0,0.77,28.34,0,0,0.77,2.3,4.6,3.06,0,0,54.38,0,3.83,3.83,74.3,0.77,0.77,0.77,0,0.77,2.3,0,0,2.3,0,3.83,0,0.77,7.66,8.43,2.3
120,0,0,0,0,3.92,0,7.84,3.92,0,0,25.48,1.96,0,0,1.96,3.92,0,1.96,0,48.99,1.96,1.96,5.88,37.24,0,0,3.92,0,0,1.96,0,1.96,1.96,0,3.92,0,1.96,1.96,9.8,1.96
