stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,0,0,1,0,0,4,0,0,1,0,0,1,1,1,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,18.88,0,0,0,0,0.82,0,0.82,0.82,0.82,0
 36-46,0,0,0,4.83,0.81,0,0,0,3.22,0,0,18.53,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0.57,0,1.72,0.57,0,0.57,0.57,1.72,0,0,13.77,0,0.57,0,0,0.57,0,0,1.15,0,0.57
 60-70,0,0.98,0.98,4.91,0.98,0,0,0,2.94,0.98,0,21.59,0,0,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,0,6.87,1.96,0,0,0,3.93,0,0,8.83,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,0,0,4.25,1.06,2.12,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,0,1.09,1.09,0,0,2.19,0,0,10.93,0,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,2.3,0,2.3,0.77,0,0,0,0.77,0,0,9.96,0.77,0,0.77,0,0.77,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0
