stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,otic,spinal_cord,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,1.64,0,2.46
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,2.42,0,1.61,0.81,0.81
 48-58,0,0,0,0,2.3,0,0,0,0.57,0,0,6.89,0,3.44,0,1.15
 60-70,0,0,0,0,2.94,0.98,0,0.98,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,6.87,1.96,0.98,0,0,0,0,8.83,0,0.98,0,0
 84-94,0,0,0,0,1.06,2.12,0,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,5.46,2.19,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,2.3,0.77,1.53,0.77,0,0,0.77,0,3.06,1.53,0,0,0,0
120,0,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0
