stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,24,0,0,0,0,1,0,9,0,0,0,2,0,7,0,2,3,0,0,0,0,0,0,2,2,0,0,23,0
 24-34,0,2.46,1.64,59.1,0,2.46,0,0,0,0,31.19,6.57,0,0,1.64,0,14.78,0,2.46,22.16,1.64,0,0,0,0,0,0.82,3.28,0,0,106.71,0
 36-46,0,0,1.61,44.31,0,4.83,0.81,0,0.81,0,15.31,10.47,0,0,1.61,0,4.83,0,0,17.72,0,0,0,0,0,1.61,0,4.03,0,0,38.67,0
 48-58,0,0,0,137.14,0,3.44,0,0,1.72,0.57,8.61,14.35,0,0,1.72,1.15,5.16,0.57,0.57,15.49,0.57,0,0,0,1.72,1.72,0,4.02,0,0,18.36,0
 60-70,0,0,1.96,188.45,0,17.67,0,0,0.98,3.93,3.93,34.35,0.98,0,1.96,0,6.87,0,0,14.72,1.96,0,0,0,0,2.94,0,3.93,0,0,2.94,0
 72-82,0,0,1.96,475.12,0,10.8,0.98,0,4.91,3.93,1.96,43.19,0,0,3.93,0.98,11.78,6.87,0,24.54,5.89,0.98,0,0,0.98,0,0,0.98,0,0,8.83,0
 84-94,0,0,2.12,335.6,0,9.56,0,0,3.19,19.12,2.12,65.85,0,0,7.43,0,4.25,5.31,1.06,9.56,7.43,1.06,0,0,0,1.06,0,1.06,0,0,6.37,1.06
 96-106,0,0,0,349.71,0,5.46,0,1.09,5.46,26.23,3.28,63.39,0,2.19,9.84,1.09,4.37,3.28,1.09,17.49,13.11,0,0,0,0,2.19,0,0,0,1.09,6.56,0
108-118,0,0,4.6,185.36,0,9.19,0.77,0,0,40.6,0.77,50.55,0.77,0.77,23.74,0,4.6,3.83,1.53,16.09,20.68,0,0,0,0.77,0,0,0,0.77,0,5.36,0.77
120,0,0,1.96,207.74,1.96,11.76,0,0,1.96,52.91,1.96,97.99,0,0,23.52,0,7.84,5.88,0,19.6,33.32,0,1.96,0,0,1.96,0,0,0,0,5.88,0
