stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0
 14-21,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,6.45,0,0,0,0,0.81,0.81
 48-58,0,0,0,0.57,0,0,0,0,1.15,2.87,0,0.57,0,0,0,0.57
 60-70,0,0,0.98,2.94,0.98,0,0,0,3.93,4.91,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,10.8,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,1.06,15.93,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,3.28,1.09,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,0.77,0,0,6.13,1.53,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,1.96,0
