stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,iridophores,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,118.6,1634.06,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,98.07,1170.76,0,0,0,0,0,0,0,18.39,0,0,36.78,0,0,0
  7-9,15.77,2.63,2.63,0,2.63,0,0,0,0,81.49,7.89,42.06,2.63,5.26,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,18.88,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1
 24-34,0,0,0,0.82,0,0,0,0,0,4.93,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0.57,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
