stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,81.82,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,11,0,0,11,0,0,0,11,0,1,0,0,0,0,0,0,36,0,17,519,2,0,1,9,0,0,0,0,3,175,0,0,19,0,0
 24-34,0,0,10.67,1.64,0,100.14,0,0.82,0.82,55,0,4.93,0,0,0.82,0,0.82,0.82,188.8,0.82,81.26,1800.96,3.28,0,2.46,0,0,4.1,1.64,0,3.28,547.51,0,0,101.79,0,0
 36-46,0,0,8.06,0,0,371.41,0,0.81,2.42,233.64,0,4.03,0,0,0,0,0.81,0,276.34,3.22,73.32,2156.78,4.83,3.22,10.47,0,0,3.22,0,0.81,0,711.41,0,0.81,69.29,0,0
 48-58,0,0,9.75,1.72,0,692.01,1.15,1.72,10.33,429.21,0,6.89,1.15,0.57,1.72,1.15,0,1.15,246.16,4.02,42.46,1221.63,0.57,2.3,3.44,0,0,3.44,0.57,0.57,0,629.46,0,2.87,67.71,0,1.15
 60-70,0,0,3.93,0,0,631.12,0,0.98,6.87,668.42,0,0.98,1.96,0,0.98,1.96,0.98,0,334.7,6.87,30.43,567.32,1.96,0,5.89,0,8.83,4.91,0,0,0,286.6,0,6.87,47.11,1.96,0.98
 72-82,0,0,15.71,1.96,0,365.18,0.98,0,16.69,822.63,0.98,0.98,0.98,0.98,0,0,0,0,394.63,9.82,27.49,335.73,0,0.98,18.65,0,2.94,1.96,0,0,0,71.66,0,9.82,86.39,5.89,1.96
 84-94,0,0,14.87,3.19,0,349.41,0,3.19,11.68,571.38,0,2.12,1.06,0,2.12,0,0,0,251.7,3.19,16.99,269.76,2.12,0,9.56,0,1.06,10.62,0,0,0,67.97,1.06,8.5,83.9,3.19,1.06
 96-106,0,0,21.86,3.28,2.19,288.51,3.28,2.19,4.37,607.62,1.09,2.19,3.28,2.19,2.19,0,2.19,0,264.47,9.84,19.67,221.85,4.37,0,20.76,0,8.74,4.37,0,0,0,28.41,0,9.84,118.03,2.19,1.09
108-118,0,0.77,12.26,2.3,0.77,232.09,0,0,10.72,582.9,1.53,1.53,1.53,1.53,2.3,0,0.77,1.53,246.64,6.13,18.38,231.32,3.06,0,22.21,0,9.96,2.3,0,0.77,0,27.57,1.53,4.6,76.6,3.83,0.77
120,0,0,19.6,3.92,1.96,217.54,0,0,13.72,754.52,0,0,9.8,0,0,1.96,1.96,0,186.18,1.96,19.6,258.69,0,0,23.52,0,9.8,3.92,0,0,0,17.64,1.96,7.84,66.63,3.92,0
