stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,21.03,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,5.75,0.82,0,0,0,0.82,3.28,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0.81,0,7.25,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0.57,0.57,0,0,0.57,0,2.87,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,1.96,0,0.98,0.98,0,6.87,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
