stage,blastomeres,endoderm,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,26.29,0,0,2.63,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,15.73,3.15,0,6.29,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0.82,4.93,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0.81,0.81,1.61,4.03,0,0,0,0,2.42,0
 48-58,0,0,1.15,0,0.57,0.57,0,0,2.3,0,0,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,0,3.93,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0.98,1.96,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,3.92,0,1.96,0,0,0,1.96
