stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,89.38,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,1.64,0,0,0.82,0,0,0,0,8.21,1.64,43.51,0,0,0,0.82,1.64,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0,2.42,0.81,44.31,0,0,0,0,9.67,0,4.03,0,0,0
 48-58,0,0,0,0,0,0.57,5.16,0,0,1.15,0,0,0,0,0.57,0,0,4.02,2.87,16.64,0.57,0,0,0,12.62,0,6.31,0,0,0
 60-70,0,0,0,1.96,0,0.98,18.65,0,0,2.94,0.98,0,0.98,0,1.96,0,0,0,3.93,7.85,0,0.98,0,0,13.74,0,2.94,0,0,0
 72-82,0,0,0,1.96,0,5.89,30.43,0.98,0,0.98,0,0,0,0,1.96,0,0,5.89,3.93,18.65,1.96,0,0.98,0,7.85,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,6.37,52.04,0,1.06,3.19,0,0,0,1.06,0,0,0,5.31,8.5,11.68,2.12,0,0,0,15.93,0,1.06,0,0,0
 96-106,0,0,0,2.19,3.28,8.74,81.96,0,0,1.09,0,0,1.09,1.09,1.09,2.19,0,8.74,12.02,16.39,1.09,1.09,1.09,0,22.95,0,0,0,0,0
108-118,0,0,0,1.53,0,4.6,72,0,0,0.77,0.77,0,0.77,0.77,1.53,0.77,0.77,6.89,6.89,9.19,0,0,0,0,16.09,0,0,1.53,0,0
120,0,0,0,0,0,1.96,62.71,0,0,3.92,0,0,0,1.96,0,0,0,5.88,1.96,7.84,0,0,1.96,0,11.76,0,0,0,0,1.96
