stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,7,0,0,0
 24-34,0,0,0,4.93,0,0.82,0,0,0,0,0,0.82,0.82,0,0,59.92,0,0,0,0,0,0,0,14.78,0.82,0,0
 36-46,0,0.81,0,12.09,0,4.03,0,0,0,0,0,0,0.81,0,0.81,148.24,0,0,0,0,0.81,0,0,28.2,0,0,0
 48-58,0,0,0,20.66,0.57,4.02,0,0,1.15,0,0,0,4.02,0,1.15,155.5,0,0,0,0,0,0,0,35,0.57,0,0.57
 60-70,0,0.98,0,38.28,0.98,7.85,0,0,0.98,0,0,0,3.93,0,0.98,274.83,0,0,0,0,0.98,0,0,44.17,0,0,0.98
 72-82,0,2.94,0,49.08,0,5.89,0,0.98,0,0.98,0.98,0,7.85,0,0,244.43,0,1.96,0.98,0,0,0,0,31.41,0.98,0.98,0
 84-94,0,0,1.06,33.99,0,2.12,0,0,2.12,0,0,0,4.25,0,1.06,114.7,0,0,1.06,0,0,0,0,13.81,0,0,0
 96-106,0,1.09,2.19,37.16,1.09,7.65,2.19,2.19,0,0,0,0,5.46,1.09,1.09,142.07,0,3.28,1.09,0,0,0,0,6.56,0,1.09,0
108-118,0.77,2.3,0.77,30.64,0.77,3.83,0,0,5.36,0.77,0,0,1.53,0,1.53,107.23,0.77,0,0.77,0.77,1.53,0,0,2.3,0,0,0
120,0,1.96,0,11.76,0,0,0,1.96,0,0,0,0,1.96,1.96,1.96,115.63,0,0,0,1.96,0,0,1.96,5.88,0,0,0
