stage,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,mesenchyme,neural,notochord,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,2,0,1,0,0,0,0,6,1,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,1.61,0
 48-58,0,0,0.57,0,0.57,0,0,0,2.3,6.31,0,0,0,0,1.15,0
 60-70,0,0.98,1.96,0.98,0.98,0,0,0,0.98,3.93,0,0,0,0,2.94,0
 72-82,0,0,2.94,0,1.96,0,0,0,0.98,7.85,0,0.98,0,0,0,0
 84-94,0,0,1.06,0,2.12,1.06,0,0,1.06,3.19,0,0,0,0,0,1.06
 96-106,0,1.09,2.19,0,2.19,0,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,3.83,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
