stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,236.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.59,2.63,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,31.47,0,6.29,0,0,0,358.75,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,953.53,12.59,0,0,100.7,0,0,0,0,0,0,22.03,0,0,0,0
 14-21,0,0,1,1,7,1,0,18,0,0,0,146,0,0,1,0,0,0,0,0,0,4,0,0,3,674,1,23,2,1,0,1,2,2,2,7,580,0,0,0,0
 24-34,0,0,0,0,4.1,1.64,0,68.13,0,0.82,0,114.92,0.82,0,0.82,0.82,0,0,0.82,1.64,0,11.49,0.82,0.82,5.75,1013.76,1.64,41.04,2.46,0,0,5.75,0,0,1.64,2.46,604.97,0,0,5.75,0
 36-46,0,0,0,0,2.42,0,0,779.08,0,0,0,87.01,0,0,0,2.42,0,0,0.81,0,0,10.47,0,0.81,5.64,779.89,1.61,45.92,0,0,0,4.03,0,0,0,0.81,537.38,0,0,3.22,0.81
 48-58,0,0,0,0,4.59,0.57,0,1322.05,0.57,0,0.57,173.29,0,0,0,0,0,1.15,0.57,1.15,0,23.53,0,2.87,7.46,593.31,1.15,26.97,2.3,0,0.57,1.15,0,0,0,0,317.31,0,0,1.72,5.16
 60-70,0,0,0,0,1.96,0,0,864.72,0,0,1.96,168.82,0,0,0,2.94,0,0,0,0,0.98,14.72,0,0.98,0.98,313.11,0.98,31.41,0.98,0,0,1.96,0.98,0,0.98,0,80.48,0,0,3.93,0
 72-82,0,0,0,0,13.74,0.98,0.98,359.29,0.98,0,0.98,202.22,1.96,0,0,1.96,0.98,0,0,0,0,18.65,0,0,1.96,265.05,0,51.05,5.89,0,0,0.98,0,0,0,0,33.38,0,0.98,2.94,1.96
 84-94,0,0,0,0,11.68,0,0,274.01,0,0,2.12,146.56,2.12,0,0,0,0,0,0,0,0,19.12,2.12,2.12,2.12,183.73,0,35.05,0,0,0,3.19,0,0,0,0,41.42,0,0,3.19,1.06
 96-106,0,0,0,0,15.3,1.09,0,214.2,0,4.37,0,162.83,1.09,0,2.19,1.09,0,1.09,0,0,0,18.58,0,1.09,0,144.26,2.19,61.2,0,0,0,3.28,0,1.09,0,0,10.93,0,1.09,2.19,1.09
108-118,0,0,0,0,5.36,3.06,0,190.72,0.77,0,0,150.89,2.3,0,0,1.53,0.77,0,1.53,0.77,0,12.26,0,0.77,0.77,176.94,0.77,40.6,1.53,0,0,3.06,0,0,0,0,4.6,0.77,0.77,0,0
120,0,0,0,0,5.88,0,0,209.7,0,0,0,152.86,0,0,0,0,0,0,0,1.96,0,9.8,0,0,0,162.66,1.96,29.4,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
