stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,4.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,0,1.72,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,1.96,1.96,0,1.96,0,2.94,0,3.93,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,2.12,0,0,0,0,0,1.06,0
 96-106,1.09,0,1.09,0,1.09,0,2.19,0,1.09,0,0,1.09,0,0
108-118,0,0.77,1.53,0.77,0,0,0.77,0,1.53,0,0.77,0.77,0,0
120,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
