stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,7.89,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,5.74,0,0,0,5.16,0.57,0,0,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,0,8.83,0,0,0,2.94,0.98,0,0,0.98,0.98,0,0
 72-82,0,0.98,0,2.94,0,0,0,30.43,0,0.98,0.98,7.85,0,0,0.98,0.98,1.96,0.98,0
 84-94,0,1.06,0,0,1.06,0,0,30.8,0,2.12,0,0,0,0,1.06,0,10.62,0,1.06
 96-106,0,1.09,1.09,0,2.19,2.19,2.19,83.06,0,3.28,0,1.09,0,0,0,0,27.32,0,0
108-118,0,0,0,3.06,0,0,0.77,56.68,0,2.3,0,4.6,0.77,0,0,0.77,19.92,0,0
120,0,0,0,0,0,1.96,0,35.28,1.96,1.96,0,0,0,0,0,0,1.96,0,0
