stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,xanthophores
 14-21,0,4,1,11,0,0,0,0,0,1,18,0,0,4,1,17,34,0
 24-34,0.82,0,2.46,4.93,0,0,0,0,0,0,18.88,0.82,0.82,0,0,2.46,28.73,0
 36-46,0.81,0,1.61,7.25,0,0,0.81,0,0.81,0,20.14,0,0,0,0,0.81,12.89,0
 48-58,0,1.15,0.57,9.75,0,0,0,0,0.57,0,11.48,0,0.57,1.15,0,1.15,9.18,0
 60-70,0,0,0.98,2.94,0,0,0,0,0,0,19.63,0,0.98,0.98,0,0,5.89,0
 72-82,0,0,4.91,9.82,0.98,0.98,0,0,1.96,0,16.69,0,1.96,0,0,0,0.98,0.98
 84-94,1.06,1.06,0,3.19,1.06,0,0,0,1.06,0,5.31,0,0,2.12,0,0,4.25,0
 96-106,0,0,1.09,6.56,0,0,0,1.09,2.19,0,7.65,0,0,2.19,0,0,1.09,0
108-118,0,0,2.3,3.83,0.77,0,0,0,0.77,0,9.19,0,1.53,0.77,0,0,1.53,0
120,0,0,3.92,1.96,0,0,0,0,0,0,15.68,0,0,1.96,0,0,0,0
