stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,141,19,0,11,0,0,0,0,1,0,5,0,1,0,0,1,16,99,0,0,77,123,12,0,0,0,0,0,1,0,2,29,0,0,8,0,0
 24-34,0.82,0,0,0.82,140.37,3.28,0,15.6,0,1.64,4.93,19.7,0,0,23.8,0,0,1.64,0.82,1.64,47.61,342.3,1.64,1.64,192.08,247.9,18.88,3.28,2.46,0,1.64,2.46,0,0,0.82,78.8,0,0,45.15,0,0.82
 36-46,0,0,0,0.81,51.56,1.61,0,18.53,0,4.83,12.89,27.39,0,0,21.75,0,0.81,1.61,0,0,7.25,422.17,0,12.09,106.35,452.79,13.7,2.42,1.61,0,2.42,2.42,0,0,0.81,66.87,0,1.61,37.06,0,1.61
 48-58,0,0,0.57,0,51.64,0.57,0,102.14,0,4.59,13.77,31.56,0,0,21.8,0,0,1.15,0.57,1.15,6.31,559.46,0.57,17.21,85.5,741.93,21.23,2.3,4.02,0,2.87,3.44,0,0,0,51.07,0,1.15,32.71,0.57,4.02
 60-70,0,0,0,0,43.19,1.96,0,142.32,0.98,6.87,10.8,27.48,0,0,15.7,0,0,0.98,0,0.98,2.94,791.11,0,25.52,62.82,934.41,27.48,2.94,5.89,0,2.94,1.96,0,0,0,32.39,0,8.83,33.37,0.98,4.91
 72-82,0,0,0,0,49.08,3.93,0,210.08,0,4.91,19.63,47.12,1.96,0,15.71,0,2.94,0,0.98,0.98,1.96,1081.79,0.98,48.1,85.4,749.99,22.58,0.98,8.83,0,3.93,0.98,0,0.98,0,24.54,0,6.87,54.97,9.82,9.82
 84-94,1.06,0,0,1.06,99.83,0,0,214.53,1.06,9.56,16.99,29.74,0,0,18.05,2.12,1.06,6.37,1.06,0,4.25,744.49,0,37.17,50.98,406.76,40.36,0,11.68,0,6.37,9.56,0,0,0,15.93,1.06,13.81,47.79,9.56,5.31
 96-106,0,0,0,0,76.5,6.56,0,108.19,1.09,9.84,10.93,20.76,2.19,0,13.11,1.09,4.37,4.37,0,1.09,4.37,649.15,0,42.62,51.36,315.83,18.58,0,7.65,0,8.74,7.65,0,3.28,0,12.02,1.09,8.74,61.2,12.02,8.74
108-118,0,0,0.77,0,92.68,2.3,3.06,77.36,0.77,10.72,9.19,19.15,4.6,0,7.66,1.53,3.06,5.36,0.77,1.53,4.6,547.66,0.77,36.77,41.36,405.96,20.68,1.53,10.72,0,2.3,2.3,0,1.53,0,5.36,1.53,8.43,39.06,6.89,9.96
120,1.96,0,0,0,74.47,1.96,0,117.59,1.96,5.88,1.96,23.52,5.88,0,7.84,1.96,3.92,1.96,1.96,0,1.96,546.78,1.96,31.36,35.28,527.18,41.16,0,9.8,0,3.92,3.92,0,0,0,9.8,0,1.96,21.56,5.88,0
