stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,2,6,0,0,0,0,1,0,0,1,0,1,1,0,2,8,0,1,1,0,0,2,2,0,0
 24-34,0,0,0.82,0,2.46,0,0,0,0,0,1.64,0.82,0,0.82,0,0,13.13,0,0.82,0,3.28,0,0,0,0.82,0
 36-46,0,0,0.81,0,4.03,0,0,0,0,0,1.61,0.81,0,0,0,0,7.25,0,0,0,6.45,0,0,2.42,0,0
 48-58,0,0,0.57,0,2.87,0,1.15,0,0,0,0.57,0,0,1.72,0,0,8.61,0,0,0,2.87,0,0,0,0.57,0
 60-70,0,0,0,0,10.8,0.98,1.96,0,0,0,0.98,0,0,5.89,0,0,11.78,0,0,0,2.94,0,0,4.91,0,0
 72-82,0,0,2.94,0.98,4.91,0,2.94,0,0,0.98,0,0,0,1.96,0,0,14.72,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,3.19,1.06,0,1.06,0,0,0,4.25,0,0,3.19,1.06,0,0,22.3,0,0,0,0,0
 96-106,0,0,1.09,1.09,4.37,1.09,2.19,0,0,0,1.09,0,1.09,1.09,0,0,4.37,0,0,0,12.02,0,0,1.09,1.09,1.09
108-118,0,0,3.06,0,2.3,0,2.3,0,0,0.77,0,1.53,0,2.3,0.77,0,5.36,0,0,0,6.89,0,0,0.77,0.77,0
120,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0
