stage,endocrine_pancreas,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,5.64,0,2.42,0,0,0
 48-58,0,0,1.15,0,0.57,0,0,0,1.15,0,3.44,0,1.72,0,0,0
 60-70,0,0,4.91,0,1.96,0,0,0,0.98,0,6.87,0,1.96,0,0,0
 72-82,0.98,0,3.93,0.98,4.91,0,0,1.96,2.94,0,11.78,0,0.98,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,1.06,6.37,0,8.5,1.06,1.06,1.06,1.06,1.06
 96-106,1.09,0,2.19,0,5.46,0,0,1.09,0,1.09,6.56,0,1.09,1.09,0,0
108-118,0,0,0,0,8.43,0.77,0,2.3,3.06,0,1.53,0,0,0.77,0,0
120,1.96,0,1.96,0,3.92,0,0,0,0,0,5.88,0,0,0,0,0
