stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,5,254,0,18,0,0,0,0,1,3,0,0,0,0,0,0,1,0,2,12,1,0,0,0,0,1,0,2,1,1,0,119,0,0
 24-34,0,0,4.93,36.12,0,371.03,0,0,0,0.82,0,6.57,0,0.82,0,0,0.82,0,5.75,0.82,0,98.5,0.82,0,0.82,0.82,0,3.28,0.82,0,1.64,13.95,0,435.87,0,0
 36-46,0,0,0.81,4.83,0,1018.37,0,0,0,1.61,0,4.03,0,0,0,0,0.81,0.81,6.45,0,1.61,79.76,0,0.81,0,0,0,0.81,0,0,0,8.86,0,266.68,0,0.81
 48-58,0,0,0,2.87,0,1192.94,0,0,0,5.74,0,7.46,0,0,0,0.57,0,0,17.21,0.57,4.02,91.81,0.57,0,0,0,0.57,1.15,0,0,0,18.36,0,191.65,0,1.15
 60-70,0,0,1.96,0.98,0,772.46,0,1.96,0,15.7,0,8.83,0,0,0.98,0,0,0,27.48,1.96,1.96,53.98,0,0,0.98,0,0,0,0.98,0,0,1.96,0,164.9,0.98,0
 72-82,0,0,0.98,1.96,0,321.99,0.98,0,0.98,22.58,1.96,10.8,0.98,0,0,0,0,0,51.05,0.98,4.91,26.5,0.98,1.96,0.98,0,0.98,0,0,0,0,0.98,0.98,313.15,1.96,1.96
 84-94,0,0,2.12,0,0,228.34,0,0,2.12,10.62,1.06,11.68,0,1.06,0,0,0,0,30.8,3.19,3.19,23.36,0,2.12,1.06,0,1.06,0,0,0,0,0,2.12,288.87,1.06,0
 96-106,0,0,6.56,2.19,0,182.51,0,1.09,1.09,18.58,1.09,33.88,2.19,1.09,0,1.09,0,0,50.27,1.09,2.19,31.69,0,1.09,3.28,0,0,2.19,2.19,0,0,0,2.19,380.31,1.09,0
108-118,0.77,0,4.6,1.53,0.77,211.41,0.77,0.77,2.3,11.49,0.77,9.19,1.53,0.77,0,0,0.77,0,45.19,0,3.06,30.64,0,0.77,1.53,0,0.77,0.77,2.3,0,0,0.77,0.77,299.49,0,0
120,0,0,3.92,0,0,152.86,0,0,0,3.92,0,21.56,0,1.96,0,1.96,1.96,0,33.32,0,1.96,47.03,1.96,1.96,1.96,0,1.96,3.92,0,0,0,1.96,0,241.05,0,0
