stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,1,0,0,0,0,2,1,6,0,0,0,0,1,0,4,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,5.75,0.82,0.82,0.82,0,0,0,0.82,7.39,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0.81,2.42,0,0,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,0.57,0,0,0,0,3.44,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,21.6,0,2.94,0,0,0,0.98,3.93,0,11.78,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,3.19,0,1.06,12.74,0,0,1.06,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,8.74,0,3.28,0,0,0,0,2.19,1.09,7.65,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,0.77,6.89,0,2.3,2.3,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,0,3.92,1.96,3.92,0,0,1.96,0,1.96,0,7.84,0,0,0,0,0,0,0,0,1.96,0
