stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,13.14,0,49.95,0,0,13.14,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,344.36,34.17,0,0,152.47,28.92,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,44.06,0,6.29,44.06,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,761.57,69.23,0,0,431.13,12.59,15.73,6.29,50.35,0,6.29,9.44,0,0,0,0,0
 14-21,0,0,4,1,52,19,7,0,0,0,131,0,0,1,0,0,0,0,0,0,35,0,0,12,264,11,12,55,21,0,9,275,167,11,164,567,0,0,2,0,0
 24-34,0,0,1.64,1.64,5.75,1.64,11.49,0,1.64,2.46,119.02,0,0,0,0,0.82,0.82,3.28,0.82,0,18.06,0,0,9.85,194.54,4.1,58.28,11.49,0,0,0,0,47.61,0.82,11.49,341.48,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,8.06,0,1.61,0.81,88.62,0.81,0,0,0,0,0,0.81,0,0,15.31,0,0,6.45,186.11,0,56.4,9.67,0,0.81,0.81,0,17.72,0,0,241.7,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,17.79,0.57,0,1.72,84.92,0,0,0,0,0,0.57,4.02,0,1.15,12.62,0,0,1.72,102.14,0,35.58,9.18,0,1.15,0,0,6.89,0,0,180.75,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,71.65,0,0.98,0.98,73.61,0.98,0,0,0.98,0,0.98,10.8,0,0,22.58,0,0.98,1.96,177.66,0,43.19,17.67,0,3.93,0,0,6.87,0,0,80.48,0,0.98,0,1.96,1.96
 72-82,0,0,3.93,0,1.96,0.98,28.47,0,0.98,0.98,98.17,2.94,0.98,0,0,0,0.98,17.67,0,0,19.63,0,0.98,1.96,77.55,0,72.64,40.25,0,1.96,0,0,3.93,0,0,39.27,0,0,0,0,0
 84-94,0,0,3.19,1.06,5.31,2.12,29.74,0,0,1.06,62.66,5.31,1.06,0,0,0,4.25,27.61,0,0,12.74,0,0,0,38.23,0,73.28,52.04,0,10.62,0,0,10.62,0,0,47.79,2.12,0,0,0,0
 96-106,0,0,3.28,3.28,7.65,0,13.11,0,1.09,0,55.74,4.37,0,0,2.19,0,1.09,46.99,0,0,12.02,1.09,0,2.19,45.9,0,96.17,57.92,0,17.49,0,0,6.56,0,0,42.62,3.28,0,0,0,0
108-118,0,0,2.3,1.53,3.83,0,13.79,0,0.77,0.77,32.17,1.53,0,0,0,1.53,0,29.11,0,0,10.72,0,1.53,0.77,47.49,0,54.38,35.23,0,13.79,0.77,0,6.13,0,0,17.62,2.3,0,0,0,0
120,0,0,0,0,3.92,0,7.84,0,1.96,1.96,13.72,1.96,0,0,0,0,3.92,31.36,0,0,3.92,0,0,0,17.64,0,37.24,21.56,0,39.2,0,0,3.92,0,0,15.68,0,0,0,0,0
