stage,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,taste
 14-21,1,0,1,0,0,0,0,1,1,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82,0.82,0
 36-46,0.81,0,1.61,0,0,0,0,0,1.61,0,0,0.81,0
 48-58,0,0,10.9,0,0,0,0.57,0,1.72,0,0,0,0
 60-70,0,0,35.33,0,0,0,0,0,0.98,0,0,0,0
 72-82,0.98,0,108.96,0.98,0,0,0.98,0,2.94,0,0,0,0.98
 84-94,0,0,117.89,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,1.09,126.77,1.09,1.09,1.09,0,0,1.09,0,0,0,2.19
108-118,0,0,44.43,0.77,0,0,0,0,2.3,0,0.77,0,0.77
120,0,0,27.44,0,0,0,0,0,1.96,1.96,0,0,0
