stage,epidermis,eye,fast_muscle,glial,immune,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0
 14-21,1,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,4.93,0,0,1.64
 36-46,0,0,0,0,0,0,0,1.61,5.64,0,0,4.03
 48-58,0,0,0,0,0,0,1.15,0.57,1.72,0.57,0,1.72
 60-70,0,0,0,0.98,0,0,0,0,3.93,0,0,0.98
 72-82,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0,0,0.77,0.77,0,0.77,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96
