stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,6,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,44,1,0,0,2,0,0,1,0,3,11,13,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,12.31,0.82,0,0,3.28,0.82,0,0,0,2.46,0.82,0,0,4.93,0.82,0,2.46,109.99,0,2.46,0,0,0,4.93,0,0.82,2.46,4.1,22.98,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0.81,0,28.2,0,0,0,4.83,0,0,0,0,0,0,0.81,0.81,7.25,0,0,0.81,131.32,0.81,3.22,0.81,0,0,2.42,0,0.81,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,49.35,1.72,0,0,8.61,0,0,0.57,0,0,0,0,0.57,13.77,0,0,3.44,95.25,0.57,0,0,0,0,3.44,0,0,0.57,0,19.51,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,0.98,0,68.71,0,0.98,0.98,8.83,0,0,2.94,1.96,0,0,0.98,0,20.61,0.98,0.98,0,92.26,0,0,0,0,0.98,4.91,0,1.96,0.98,0,10.8,0,0,0,0,2.94
 72-82,0,0,0,0.98,2.94,0,60.86,2.94,0,0.98,12.76,0,0,0.98,0.98,0.98,0,0,0,32.39,0.98,0.98,1.96,94.24,0.98,0.98,0.98,0,0,1.96,0,0,0,0,7.85,0.98,0,4.91,0,0
 84-94,0,0,0,5.31,2.12,0,53.1,0,0,3.19,6.37,2.12,0,0,1.06,0,1.06,0,0,31.86,1.06,1.06,3.19,64.78,0,0,1.06,0,0,4.25,0,0,0,0,8.5,1.06,1.06,3.19,1.06,0
 96-106,0,0,1.09,4.37,1.09,1.09,39.34,0,0,0,13.11,2.19,0,0,1.09,2.19,0,0,0,15.3,0,0,0,63.39,0,1.09,1.09,0,2.19,4.37,0,1.09,0,0,2.19,1.09,1.09,2.19,0,1.09
108-118,0,0,0.77,4.6,3.83,0,28.34,0,2.3,0,7.66,1.53,0,0,2.3,1.53,0.77,2.3,0.77,7.66,0,0,9.19,52.85,0.77,3.06,2.3,0,0.77,3.83,0,0,0,0,1.53,0.77,2.3,1.53,0,0.77
120,0,0,0,3.92,9.8,1.96,23.52,0,0,1.96,3.92,3.92,0,0,1.96,0,0,1.96,0,9.8,0,0,3.92,45.08,0,0,1.96,0,0,1.96,0,0,0,0,5.88,0,0,1.96,0,0
